<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.05.01	01:00:00	4634.43	4635.66	4624.24	4627.96	285	0	92
2026.05.01	01:01:00	4627.88	4631.21	4627.54	4628.74	257	0	48
2026.05.01	01:02:00	4628.67	4628.94	4626.30	4627.87	187	0	50
2026.05.01	01:03:00	4627.79	4627.84	4625.35	4625.48	100	0	50
2026.05.01	01:04:00	4625.51	4629.48	4625.32	4629.02	110	0	39
2026.05.01	01:05:00	4628.75	4630.50	4628.29	4628.46	179	0	53
2026.05.01	01:06:00	4628.47	4629.23	4627.90	4627.97	104	0	53
2026.05.01	01:07:00	4627.57	4628.33	4626.20	4628.16	107	0	27
2026.05.01	01:08:00	4628.12	4629.73	4627.60	4629.57	129	0	31
2026.05.01	01:09:00	4629.58	4631.94	4629.57	4631.06	351	0	28
2026.05.01	01:10:00	4630.97	4631.84	4629.99	4630.33	224	0	31
2026.05.01	01:11:00	4630.31	4630.69	4629.57	4630.45	136	0	35
2026.05.01	01:12:00	4630.38	4631.71	4630.22	4631.71	167	0	31
2026.05.01	01:13:00	4631.77	4632.64	4630.99	4631.09	224	0	26
2026.05.01	01:14:00	4631.11	4631.42	4630.69	4631.24	132	0	27
2026.05.01	01:15:00	4631.21	4631.41	4629.00	4629.21	263	0	26
2026.05.01	01:16:00	4629.23	4630.75	4629.21	4630.57	211	0	26
2026.05.01	01:17:00	4630.54	4631.13	4630.25	4630.78	156	0	26
2026.05.01	01:18:00	4630.79	4631.49	4629.80	4630.03	207	0	26
2026.05.01	01:19:00	4630.01	4630.54	4628.66	4630.27	296	0	27
2026.05.01	01:20:00	4630.30	4630.99	4630.28	4630.83	181	0	34
2026.05.01	01:21:00	4630.94	4631.04	4629.92	4630.68	98	0	34
2026.05.01	01:22:00	4630.70	4630.72	4630.22	4630.31	118	0	34
2026.05.01	01:23:00	4630.35	4630.90	4629.64	4630.90	159	0	30
2026.05.01	01:24:00	4630.89	4630.89	4630.18	4630.35	130	0	30
2026.05.01	01:25:00	4630.37	4630.42	4629.57	4629.60	131	0	34
2026.05.01	01:26:00	4629.61	4629.79	4629.28	4629.37	112	0	26
2026.05.01	01:27:00	4629.37	4630.58	4629.28	4630.05	89	0	28
2026.05.01	01:28:00	4630.01	4630.88	4630.01	4630.84	103	0	30
2026.05.01	01:29:00	4630.86	4631.23	4630.17	4631.14	128	0	26
2026.05.01	01:30:00	4631.16	4632.24	4631.00	4631.55	167	0	29
2026.05.01	01:31:00	4631.60	4631.61	4630.17	4631.07	138	0	31
2026.05.01	01:32:00	4631.08	4631.14	4630.08	4630.12	141	0	37
2026.05.01	01:33:00	4630.11	4630.11	4628.63	4628.67	189	0	27
2026.05.01	01:34:00	4628.85	4629.14	4628.04	4628.04	220	0	27
2026.05.01	01:35:00	4628.03	4629.59	4627.65	4628.53	335	0	28
2026.05.01	01:36:00	4628.51	4629.02	4626.89	4627.83	299	0	26
2026.05.01	01:37:00	4627.87	4628.63	4626.72	4627.73	299	0	28
2026.05.01	01:38:00	4627.73	4629.27	4627.30	4628.75	243	0	26
2026.05.01	01:39:00	4628.74	4630.67	4628.74	4629.79	201	0	28
2026.05.01	01:40:00	4629.79	4631.25	4629.79	4630.99	163	0	32
2026.05.01	01:41:00	4631.05	4631.21	4630.46	4630.82	166	0	39
2026.05.01	01:42:00	4630.85	4631.30	4630.56	4630.95	105	0	31
2026.05.01	01:43:00	4630.95	4631.49	4630.71	4631.39	150	0	27
2026.05.01	01:44:00	4631.38	4632.15	4630.71	4632.15	182	0	28
2026.05.01	01:45:00	4632.16	4632.16	4631.15	4631.15	83	0	36
2026.05.01	01:46:00	4631.13	4631.29	4630.73	4630.92	72	0	34
2026.05.01	01:47:00	4630.81	4630.81	4628.82	4628.85	236	0	26
2026.05.01	01:48:00	4628.93	4630.63	4628.23	4630.20	342	0	25
2026.05.01	01:49:00	4630.26	4632.06	4630.09	4631.71	205	0	28
2026.05.01	01:50:00	4631.66	4631.66	4629.73	4630.03	304	0	27
2026.05.01	01:51:00	4629.99	4630.59	4629.10	4629.33	133	0	28
2026.05.01	01:52:00	4629.40	4630.81	4629.38	4630.68	141	0	28
2026.05.01	01:53:00	4630.67	4630.76	4629.45	4629.54	197	0	31
2026.05.01	01:54:00	4629.62	4629.71	4629.32	4629.54	131	0	32
2026.05.01	01:55:00	4629.56	4630.24	4629.37	4629.89	166	0	29
2026.05.01	01:56:00	4629.88	4630.25	4629.81	4629.86	127	0	35
2026.05.01	01:57:00	4629.90	4630.17	4629.27	4629.50	162	0	29
2026.05.01	01:58:00	4629.75	4631.55	4629.69	4630.64	229	0	28
2026.05.01	01:59:00	4630.64	4631.73	4629.92	4630.24	296	0	26
2026.05.01	02:00:00	4630.25	4630.57	4629.65	4630.40	186	0	28
2026.05.01	02:01:00	4630.53	4630.66	4629.81	4630.12	157	0	26
2026.05.01	02:02:00	4630.11	4630.18	4628.98	4629.31	131	0	28
2026.05.01	02:03:00	4629.33	4629.33	4627.98	4628.82	226	0	25
2026.05.01	02:04:00	4628.79	4629.47	4628.35	4629.38	134	0	28
2026.05.01	02:05:00	4629.33	4630.47	4629.23	4629.96	210	0	29
2026.05.01	02:06:00	4629.96	4631.43	4629.60	4630.51	216	0	28
2026.05.01	02:07:00	4630.55	4630.62	4629.91	4630.34	129	0	35
2026.05.01	02:08:00	4630.36	4630.93	4630.25	4630.42	123	0	33
2026.05.01	02:09:00	4630.41	4630.64	4628.72	4629.16	194	0	28
2026.05.01	02:10:00	4629.36	4629.68	4628.59	4628.82	137	0	28
2026.05.01	02:11:00	4628.91	4630.83	4628.87	4630.64	152	0	28
2026.05.01	02:12:00	4630.65	4631.27	4630.36	4630.43	89	0	30
2026.05.01	02:13:00	4630.49	4631.60	4630.06	4630.08	182	0	27
2026.05.01	02:14:00	4630.06	4630.50	4629.27	4630.04	149	0	28
2026.05.01	02:15:00	4630.11	4630.11	4629.40	4629.54	138	0	28
2026.05.01	02:16:00	4629.50	4630.74	4629.37	4630.06	166	0	26
2026.05.01	02:17:00	4630.08	4630.88	4629.76	4630.78	148	0	26
2026.05.01	02:18:00	4630.80	4631.18	4628.95	4629.98	226	0	27
2026.05.01	02:19:00	4629.96	4630.16	4629.62	4629.74	147	0	30
2026.05.01	02:20:00	4629.72	4630.00	4629.72	4629.96	100	0	30
2026.05.01	02:21:00	4629.99	4630.73	4629.92	4630.41	123	0	28
2026.05.01	02:22:00	4630.37	4630.46	4629.94	4629.98	108	0	26
2026.05.01	02:23:00	4630.05	4630.51	4629.95	4630.36	129	0	29
2026.05.01	02:24:00	4630.25	4630.37	4630.00	4630.06	59	0	30
2026.05.01	02:25:00	4630.18	4631.08	4630.18	4631.07	140	0	28
2026.05.01	02:26:00	4631.08	4631.94	4630.85	4631.70	86	0	26
2026.05.01	02:27:00	4631.72	4632.10	4631.39	4631.86	139	0	25
2026.05.01	02:28:00	4631.85	4631.86	4630.63	4631.42	144	0	26
2026.05.01	02:29:00	4631.52	4631.56	4630.34	4630.67	149	0	27
2026.05.01	02:30:00	4630.68	4632.42	4630.53	4631.75	181	0	28
2026.05.01	02:31:00	4631.76	4632.58	4631.65	4632.53	87	0	28
2026.05.01	02:32:00	4632.54	4632.93	4631.93	4632.29	185	0	27
2026.05.01	02:33:00	4632.31	4633.59	4631.59	4632.91	281	0	26
2026.05.01	02:34:00	4632.82	4633.32	4632.18	4632.74	236	0	28
2026.05.01	02:35:00	4632.75	4633.04	4631.93	4632.04	165	0	28
2026.05.01	02:36:00	4632.05	4633.28	4631.68	4633.26	189	0	27
2026.05.01	02:37:00	4633.27	4633.47	4632.90	4633.35	113	0	26
2026.05.01	02:38:00	4633.37	4634.16	4633.21	4633.57	158	0	26
2026.05.01	02:39:00	4633.73	4633.75	4632.69	4633.25	150	0	26
2026.05.01	02:40:00	4633.26	4633.95	4632.53	4633.52	185	0	25
2026.05.01	02:41:00	4633.51	4634.01	4633.13	4633.38	139	0	29
2026.05.01	02:42:00	4633.39	4633.55	4633.05	4633.45	100	0	25
2026.05.01	02:43:00	4633.48	4633.48	4632.41	4632.42	198	0	28
2026.05.01	02:44:00	4632.40	4633.12	4631.21	4631.25	177	0	28
2026.05.01	02:45:00	4630.94	4631.99	4630.60	4630.98	340	0	28
2026.05.01	02:46:00	4631.00	4632.49	4630.96	4632.40	200	0	26
2026.05.01	02:47:00	4632.47	4633.35	4632.08	4632.13	244	0	28
2026.05.01	02:48:00	4632.15	4632.78	4632.03	4632.14	194	0	32
2026.05.01	02:49:00	4632.20	4632.57	4630.42	4631.31	212	0	28
2026.05.01	02:50:00	4631.32	4631.90	4631.20	4631.57	170	0	26
2026.05.01	02:51:00	4631.57	4631.72	4631.25	4631.44	133	0	25
2026.05.01	02:52:00	4631.43	4631.45	4629.84	4630.13	221	0	27
2026.05.01	02:53:00	4630.25	4632.25	4630.25	4631.88	235	0	26
2026.05.01	02:54:00	4631.79	4632.05	4631.42	4631.82	210	0	30
2026.05.01	02:55:00	4631.81	4632.54	4630.81	4630.81	232	0	28
2026.05.01	02:56:00	4630.80	4630.82	4629.45	4629.52	164	0	28
2026.05.01	02:57:00	4629.51	4629.89	4627.05	4627.15	311	0	27
2026.05.01	02:58:00	4627.12	4628.69	4626.65	4627.54	247	0	28
2026.05.01	02:59:00	4627.37	4627.42	4626.31	4626.45	346	0	25
2026.05.01	03:00:00	4626.46	4626.97	4623.19	4625.27	870	0	25
2026.05.01	03:01:00	4625.31	4627.94	4623.95	4627.33	532	0	26
2026.05.01	03:02:00	4627.33	4628.22	4626.69	4627.35	457	0	26
2026.05.01	03:03:00	4627.41	4627.58	4625.31	4626.01	325	0	25
2026.05.01	03:04:00	4626.02	4628.56	4626.02	4627.72	284	0	25
2026.05.01	03:05:00	4627.73	4629.15	4627.04	4628.93	312	0	25
2026.05.01	03:06:00	4628.92	4630.99	4628.34	4628.63	450	0	25
2026.05.01	03:07:00	4628.61	4629.63	4627.31	4627.32	318	0	25
2026.05.01	03:08:00	4627.33	4627.57	4626.10	4626.20	267	0	26
2026.05.01	03:09:00	4626.19	4627.87	4624.89	4626.81	362	0	25
2026.05.01	03:10:00	4626.81	4627.88	4626.03	4626.53	354	0	26
2026.05.01	03:11:00	4626.55	4626.55	4623.52	4623.61	345	0	26
2026.05.01	03:12:00	4623.59	4624.91	4623.32	4624.12	363	0	26
2026.05.01	03:13:00	4624.17	4624.23	4620.92	4621.34	396	0	26
2026.05.01	03:14:00	4621.39	4622.48	4620.70	4622.40	412	0	25
2026.05.01	03:15:00	4622.39	4624.53	4620.52	4623.84	583	0	26
2026.05.01	03:16:00	4623.85	4626.66	4623.84	4625.64	433	0	26
2026.05.01	03:17:00	4625.62	4625.97	4625.28	4625.62	190	0	26
2026.05.01	03:18:00	4625.67	4627.09	4625.38	4626.62	306	0	25
2026.05.01	03:19:00	4626.64	4627.53	4625.24	4626.03	288	0	26
2026.05.01	03:20:00	4626.00	4627.37	4624.61	4627.34	351	0	25
2026.05.01	03:21:00	4627.33	4628.80	4627.27	4627.40	366	0	26
2026.05.01	03:22:00	4627.39	4627.67	4625.95	4626.05	264	0	30
2026.05.01	03:23:00	4626.06	4626.74	4624.06	4624.38	303	0	27
2026.05.01	03:24:00	4624.37	4624.80	4623.38	4623.45	350	0	28
