<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.03.01	01:00:00	2043.17	2043.66	2043.17	2043.54	0.0	0.0	28
2024.03.01	01:01:00	2043.56	2043.56	2043.4	2043.44	0.0	0.0	28
2024.03.01	01:02:00	2043.34	2043.52	2043.2	2043.2	0.0	0.0	28
2024.03.01	01:03:00	2043.14	2043.52	2043.14	2043.36	0.0	0.0	28
2024.03.01	01:04:00	2043.42	2043.52	2043.24	2043.3	0.0	0.0	28
2024.03.01	01:05:00	2043.28	2043.5	2043.19	2043.29	0.0	0.0	28
2024.03.01	01:06:00	2043.25	2043.34	2043.23	2043.27	0.0	0.0	28
2024.03.01	01:07:00	2043.32	2043.43	2043.18	2043.33	0.0	0.0	28
2024.03.01	01:08:00	2043.3	2043.43	2043.3	2043.41	0.0	0.0	28
2024.03.01	01:09:00	2043.43	2043.43	2043.32	2043.32	0.0	0.0	28
2024.03.01	01:10:00	2043.32	2043.68	2043.32	2043.48	0.0	0.0	28
2024.03.01	01:11:00	2043.48	2043.48	2043.38	2043.4	0.0	0.0	28
2024.03.01	01:12:00	2043.42	2043.5	2043.39	2043.39	0.0	0.0	28
2024.03.01	01:13:00	2043.48	2043.48	2043.32	2043.37	0.0	0.0	28
2024.03.01	01:14:00	2043.48	2043.5	2043.48	2043.5	0.0	0.0	28
2024.03.01	01:15:00	2043.36	2043.52	2043.27	2043.3	0.0	0.0	28
2024.03.01	01:16:00	2043.28	2043.3	2043.28	2043.3	0.0	0.0	28
2024.03.01	01:17:00	2043.3	2043.42	2043.05	2043.2	0.0	0.0	28
2024.03.01	01:18:00	2043.25	2043.4	2043.25	2043.29	0.0	0.0	28
2024.03.01	01:19:00	2043.4	2043.4	2043.18	2043.18	0.0	0.0	28
2024.03.01	01:20:00	2043.28	2043.44	2043.11	2043.29	0.0	0.0	28
2024.03.01	01:21:00	2043.23	2043.24	2043.04	2043.08	0.0	0.0	28
2024.03.01	01:22:00	2043.12	2043.12	2042.94	2043.08	0.0	0.0	28
2024.03.01	01:23:00	2043.1	2043.22	2043.08	2043.1	0.0	0.0	28
2024.03.01	01:24:00	2043.1	2043.3	2043.08	2043.3	0.0	0.0	28
2024.03.01	01:25:00	2043.32	2043.56	2043.32	2043.56	0.0	0.0	28
2024.03.01	01:26:00	2043.44	2043.5	2043.4	2043.44	0.0	0.0	28
2024.03.01	01:27:00	2043.46	2043.58	2043.42	2043.54	0.0	0.0	28
2024.03.01	01:28:00	2043.54	2043.68	2043.54	2043.54	0.0	0.0	28
2024.03.01	01:29:00	2043.54	2043.64	2043.44	2043.46	0.0	0.0	28
2024.03.01	01:30:00	2043.44	2043.44	2043.3	2043.34	0.0	0.0	28
2024.03.01	01:31:00	2043.32	2043.38	2043.26	2043.38	0.0	0.0	28
2024.03.01	01:32:00	2043.36	2043.38	2043.26	2043.38	0.0	0.0	28
2024.03.01	01:33:00	2043.32	2043.48	2043.28	2043.42	0.0	0.0	28
2024.03.01	01:34:00	2043.46	2043.46	2043.28	2043.34	0.0	0.0	28
