<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.02	01:00:00	2062.7	2066.4	2062.63	2065.8	1083	0	24
2024.01.02	01:15:00	2065.79	2066.2	2065.05	2065.1	1321	0	24
2024.01.02	01:30:00	2065.09	2065.43	2064.16	2064.49	1394	0	24
2024.01.02	01:45:00	2064.49	2064.49	2063.12	2063.62	1274	0	24
2024.01.02	02:00:00	2063.6	2064.92	2063.36	2064.02	1604	0	24
2024.01.02	02:15:00	2064.02	2064.38	2062.26	2063.31	2007	0	24
2024.01.02	02:30:00	2063.31	2064.63	2062.91	2064.62	1217	0	24
2024.01.02	02:45:00	2064.62	2065.81	2064.45	2065.46	1620	0	24
2024.01.02	03:00:00	2065.45	2069.6	2064.83	2069.23	4954	0	24
2024.01.02	03:15:00	2069.23	2069.85	2067.28	2068.46	3550	0	24
2024.01.02	03:30:00	2068.46	2068.53	2066.92	2068.15	3989	0	24
2024.01.02	03:45:00	2068.16	2069.05	2066.33	2066.53	2552	0	24
2024.01.02	04:00:00	2066.52	2066.76	2063.9	2064.62	2792	0	24
2024.01.02	04:15:00	2064.62	2067.04	2064.58	2066.69	2174	0	24
2024.01.02	04:30:00	2066.68	2068.34	2065.76	2067.43	2981	0	24
2024.01.02	04:45:00	2067.47	2068.28	2067.3	2067.78	1745	0	24
2024.01.02	05:00:00	2067.79	2069.42	2066.44	2069.06	1894	0	24
2024.01.02	05:15:00	2069.06	2069.94	2069.06	2069.71	1640	0	24
2024.01.02	05:30:00	2069.71	2069.92	2069.41	2069.85	1071	0	24
2024.01.02	05:45:00	2069.84	2070.32	2068.58	2069.62	1287	0	24
2024.01.02	06:00:00	2069.63	2070.42	2069.24	2070.38	1128	0	24
2024.01.02	06:15:00	2070.37	2070.63	2068.92	2069.45	1140	0	24
2024.01.02	06:30:00	2069.46	2070.34	2069.46	2069.9	1057	0	24
2024.01.02	06:45:00	2069.9	2070.19	2068.89	2069.59	1075	0	24
2024.01.02	07:00:00	2069.61	2071.62	2069.48	2071.54	1474	0	24
2024.01.02	07:15:00	2071.55	2071.79	2070.79	2071.43	1341	0	24
2024.01.02	07:30:00	2071.43	2072.15	2070.78	2072.07	2082	0	24
2024.01.02	07:45:00	2072.07	2074.76	2071.91	2074.4	3239	0	24
2024.01.02	08:00:00	2074.41	2074.93	2072.9	2074.72	2464	0	24
2024.01.02	08:15:00	2074.71	2076.66	2074.22	2075.85	2397	0	24
2024.01.02	08:30:00	2075.83	2076.54	2074.74	2075.06	2954	0	24
2024.01.02	08:45:00	2075.06	2075.16	2073.76	2074.14	1766	0	24
2024.01.02	09:00:00	2074.14	2075.7	2073.34	2075.36	3289	0	24
2024.01.02	09:15:00	2075.36	2076.35	2074.44	2075.2	4164	0	24
2024.01.02	09:30:00	2075.2	2075.73	2074.66	2075.2	2766	0	24
2024.01.02	09:45:00	2075.2	2075.46	2073.09	2073.09	4153	0	24
2024.01.02	10:00:00	2073.1	2074.47	2072.23	2074.01	5188	0	24
2024.01.02	10:15:00	2074.0	2074.19	2072.22	2072.59	3436	0	24
2024.01.02	10:30:00	2072.6	2074.34	2071.77	2073.79	4062	0	24
2024.01.02	10:45:00	2073.79	2073.89	2072.35	2073.24	3101	0	24
2024.01.02	11:00:00	2073.24	2075.47	2073.19	2074.49	2689	0	24
2024.01.02	11:15:00	2074.49	2075.55	2073.94	2074.63	3248	0	24
2024.01.02	11:30:00	2074.63	2078.8	2074.54	2078.26	3343	0	24
2024.01.02	11:45:00	2078.25	2078.84	2076.74	2076.98	2820	0	24
2024.01.02	12:00:00	2076.98	2077.69	2074.48	2074.87	3058	0	24
2024.01.02	12:15:00	2074.88	2075.29	2073.43	2074.56	3501	0	24
2024.01.02	12:30:00	2074.58	2076.04	2074.32	2075.59	2699	0	24
2024.01.02	12:45:00	2075.58	2076.48	2075.36	2075.93	2610	0	24
2024.01.02	13:00:00	2075.92	2076.1	2073.77	2073.92	2674	0	24
2024.01.02	13:15:00	2073.92	2075.79	2072.74	2074.95	4043	0	24
2024.01.02	13:30:00	2074.95	2074.95	2068.36	2068.72	5200	0	24
2024.01.02	13:45:00	2068.72	2070.26	2068.2	2069.19	4351	0	24
2024.01.02	14:00:00	2069.19	2069.43	2066.28	2066.72	4198	0	24
2024.01.02	14:15:00	2066.71	2067.05	2065.03	2065.95	4310	0	24
2024.01.02	14:30:00	2065.94	2068.28	2065.54	2067.12	4208	0	24
2024.01.02	14:45:00	2067.12	2068.06	2066.63	2067.85	3148	0	24
2024.01.02	15:00:00	2067.85	2068.7	2064.78	2065.54	6324	0	24
2024.01.02	15:15:00	2065.53	2068.65	2065.32	2067.03	6855	0	24
2024.01.02	15:30:00	2067.04	2070.98	2066.9	2069.71	7370	0	24
2024.01.02	15:45:00	2069.71	2069.75	2064.85	2066.21	6564	0	24
2024.01.02	16:00:00	2066.2	2067.22	2064.8	2065.26	6166	0	24
2024.01.02	16:15:00	2065.24	2067.84	2064.58	2065.88	5669	0	24
2024.01.02	16:30:00	2065.87	2069.88	2062.11	2065.73	11361	0	24
2024.01.02	16:45:00	2065.75	2070.36	2065.75	2070.33	13115	0	24
2024.01.02	17:00:00	2070.33	2070.63	2066.46	2067.19	9508	0	24
2024.01.02	17:15:00	2067.19	2067.76	2063.95	2064.79	8422	0	24
2024.01.02	17:30:00	2064.74	2065.19	2055.82	2058.8	13172	0	24
2024.01.02	17:45:00	2058.79	2059.71	2057.28	2059.29	9168	0	24
2024.01.02	18:00:00	2059.28	2067.55	2059.12	2066.3	10770	0	24
2024.01.02	18:15:00	2066.31	2066.91	2064.66	2065.4	6146	0	24
2024.01.02	18:30:00	2065.41	2065.55	2064.08	2064.99	4539	0	24
2024.01.02	18:45:00	2064.99	2066.86	2064.96	2066.04	3762	0	24
2024.01.02	19:00:00	2066.02	2066.89	2064.6	2064.71	3679	0	24
2024.01.02	19:15:00	2064.72	2064.92	2062.72	2063.97	4066	0	24
2024.01.02	19:30:00	2063.97	2065.13	2063.64	2064.62	2967	0	24
2024.01.02	19:45:00	2064.61	2064.61	2061.76	2062.62	3972	0	24
2024.01.02	20:00:00	2062.62	2063.25	2061.41	2062.62	3132	0	24
2024.01.02	20:15:00	2062.62	2064.87	2062.48	2064.44	2671	0	24
2024.01.02	20:30:00	2064.45	2064.45	2061.41	2061.56	2369	0	24
2024.01.02	20:45:00	2061.56	2062.39	2060.52	2061.11	2638	0	24
2024.01.02	21:00:00	2061.11	2062.12	2060.84	2061.66	2227	0	24
2024.01.02	21:15:00	2061.67	2061.88	2060.41	2061.59	2319	0	24
2024.01.02	21:30:00	2061.59	2062.02	2061.12	2061.71	1892	0	24
2024.01.02	21:45:00	2061.73	2061.8	2060.45	2060.86	2667	0	24
2024.01.02	22:00:00	2060.87	2061.56	2060.45	2060.8	1338	0	24
