<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.12.02	01:00:00	2653.27	2653.31	2648.95	2650.5	0.0	0.0	31
2024.12.02	01:01:00	2650.45	2651.06	2648.8	2650.09	0.0	0.0	31
2024.12.02	01:02:00	2650.23	2650.44	2648.54	2650.14	0.0	0.0	31
2024.12.02	01:03:00	2649.74	2649.97	2648.32	2649.74	0.0	0.0	31
2024.12.02	01:04:00	2649.54	2649.54	2648.47	2648.86	0.0	0.0	31
2024.12.02	01:05:00	2648.84	2649.24	2648.12	2648.21	0.0	0.0	31
2024.12.02	01:06:00	2648.21	2648.81	2648.21	2648.71	0.0	0.0	31
2024.12.02	01:07:00	2648.74	2649.66	2648.58	2648.88	0.0	0.0	31
2024.12.02	01:08:00	2648.88	2648.88	2648.44	2648.52	0.0	0.0	31
2024.12.02	01:09:00	2648.5	2648.78	2648.22	2648.56	0.0	0.0	31
2024.12.02	01:10:00	2648.57	2648.72	2647.95	2648.25	0.0	0.0	31
2024.12.02	01:11:00	2648.25	2648.68	2648.0	2648.36	0.0	0.0	31
2024.12.02	01:12:00	2648.31	2648.45	2648.06	2648.35	0.0	0.0	31
2024.12.02	01:13:00	2648.25	2648.55	2647.94	2648.35	0.0	0.0	31
2024.12.02	01:14:00	2648.36	2648.79	2648.35	2648.64	0.0	0.0	31
2024.12.02	01:15:00	2648.62	2648.7	2648.5	2648.64	0.0	0.0	31
2024.12.02	01:16:00	2648.66	2649.15	2648.55	2649.15	0.0	0.0	31
2024.12.02	01:17:00	2649.15	2649.92	2649.06	2649.7	0.0	0.0	31
2024.12.02	01:18:00	2649.7	2650.29	2648.92	2649.56	0.0	0.0	31
2024.12.02	01:19:00	2649.58	2649.98	2649.22	2649.27	0.0	0.0	31
2024.12.02	01:20:00	2649.27	2649.35	2648.75	2648.78	0.0	0.0	31
2024.12.02	01:21:00	2648.79	2648.79	2647.74	2647.75	0.0	0.0	31
2024.12.02	01:22:00	2647.74	2647.86	2646.6	2647.16	0.0	0.0	31
2024.12.02	01:23:00	2647.18	2647.42	2646.9	2646.92	0.0	0.0	31
2024.12.02	01:24:00	2646.92	2646.98	2646.28	2646.46	0.0	0.0	31
2024.12.02	01:25:00	2646.46	2646.59	2645.16	2645.25	0.0	0.0	31
2024.12.02	01:26:00	2645.26	2645.78	2644.31	2644.34	0.0	0.0	31
2024.12.02	01:27:00	2644.36	2645.24	2644.28	2645.2	0.0	0.0	31
2024.12.02	01:28:00	2645.22	2646.27	2645.21	2645.98	0.0	0.0	31
2024.12.02	01:29:00	2645.98	2646.58	2645.68	2646.16	0.0	0.0	31
2024.12.02	01:30:00	2646.12	2646.12	2645.34	2646.04	0.0	0.0	31
2024.12.02	01:31:00	2646.04	2646.25	2645.44	2645.75	0.0	0.0	31
2024.12.02	01:32:00	2645.71	2645.74	2644.44	2645.18	0.0	0.0	31
2024.12.02	01:33:00	2645.16	2645.16	2643.18	2643.7	0.0	0.0	31
2024.12.02	01:34:00	2643.7	2644.1	2643.34	2643.92	0.0	0.0	31
2024.12.02	01:35:00	2643.92	2644.12	2643.64	2643.94	0.0	0.0	31
2024.12.02	01:36:00	2643.94	2645.08	2643.86	2644.66	0.0	0.0	31
2024.12.02	01:37:00	2644.64	2644.66	2644.06	2644.16	0.0	0.0	31
2024.12.02	01:38:00	2644.14	2645.0	2644.14	2644.96	0.0	0.0	31
2024.12.02	01:39:00	2644.98	2646.24	2644.98	2645.98	0.0	0.0	31
2024.12.02	01:40:00	2645.96	2646.3	2645.58	2646.1	0.0	0.0	31
2024.12.02	01:41:00	2646.08	2646.08	2645.34	2645.58	0.0	0.0	31
2024.12.02	01:42:00	2645.56	2646.12	2645.48	2646.02	0.0	0.0	31
2024.12.02	01:43:00	2646.02	2646.02	2645.54	2645.76	0.0	0.0	31
2024.12.02	01:44:00	2645.77	2645.9	2645.58	2645.58	0.0	0.0	31
2024.12.02	01:45:00	2645.58	2646.24	2645.38	2646.02	0.0	0.0	31
2024.12.02	01:46:00	2646.03	2646.26	2645.98	2646.04	0.0	0.0	31
2024.12.02	01:47:00	2646.04	2646.18	2645.93	2646.04	0.0	0.0	31
2024.12.02	01:48:00	2646.08	2647.08	2646.08	2646.84	0.0	0.0	31
2024.12.02	01:49:00	2646.84	2646.84	2645.91	2646.22	0.0	0.0	31
2024.12.02	01:50:00	2646.22	2647.03	2646.21	2647.02	0.0	0.0	31
