<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.01.23	10:04:00	4945.72	4946.47	4944.64	4946.28	346.0	0.0	31
2026.01.23	10:05:00	4946.23	4946.53	4944.11	4944.55	269.0	0.0	31
2026.01.23	10:06:00	4944.55	4947.11	4943.51	4946.75	411.0	0.0	31
2026.01.23	10:07:00	4946.66	4946.66	4945.66	4945.73	307.0	0.0	31
2026.01.23	10:08:00	4945.81	4947.61	4945.57	4946.3	277.0	0.0	31
2026.01.23	10:09:00	4946.3	4946.94	4945.64	4946.77	258.0	0.0	31
2026.01.23	10:10:00	4946.76	4946.76	4945.09	4945.66	229.0	0.0	31
2026.01.23	10:11:00	4945.51	4945.51	4940.93	4941.54	478.0	0.0	31
2026.01.23	10:12:00	4941.49	4942.48	4940.29	4942.09	368.0	0.0	31
2026.01.23	10:13:00	4942.19	4944.37	4942.0	4944.15	350.0	0.0	31
2026.01.23	10:14:00	4944.14	4944.14	4941.55	4942.16	505.0	0.0	31
2026.01.23	10:15:00	4942.14	4942.46	4939.22	4942.44	804.0	0.0	31
2026.01.23	10:16:00	4942.42	4942.84	4941.69	4941.69	303.0	0.0	31
2026.01.23	10:17:00	4941.68	4942.29	4938.89	4939.07	587.0	0.0	31
2026.01.23	10:18:00	4938.98	4939.99	4937.57	4938.37	738.0	0.0	31
2026.01.23	10:19:00	4938.29	4939.97	4937.78	4938.89	565.0	0.0	31
2026.01.23	10:20:00	4938.9	4938.92	4929.79	4930.75	1364.0	0.0	31
2026.01.23	10:21:00	4930.74	4933.98	4930.74	4932.58	824.0	0.0	31
2026.01.23	10:22:00	4932.65	4932.96	4927.65	4927.73	866.0	0.0	31
2026.01.23	10:23:00	4927.7	4928.18	4921.35	4922.8	1189.0	0.0	31
2026.01.23	10:24:00	4922.9	4925.4	4920.2	4920.71	1369.0	0.0	31
2026.01.23	10:25:00	4920.89	4921.08	4912.76	4914.7	1830.0	0.0	31
2026.01.23	10:26:00	4914.73	4920.9	4911.58	4912.77	2030.0	0.0	31
2026.01.23	10:27:00	4912.76	4913.06	4905.51	4906.49	2322.0	0.0	31
2026.01.23	10:28:00	4906.52	4906.95	4901.26	4906.85	1962.0	0.0	31
2026.01.23	10:29:00	4906.85	4913.74	4906.76	4913.21	1124.0	0.0	31
2026.01.23	10:30:00	4913.15	4917.68	4913.12	4914.96	910.0	0.0	31
2026.01.23	10:31:00	4914.94	4914.94	4910.4	4913.15	877.0	0.0	31
2026.01.23	10:32:00	4913.09	4915.3	4911.1	4914.94	726.0	0.0	31
2026.01.23	10:33:00	4914.96	4918.81	4914.33	4917.96	709.0	0.0	31
2026.01.23	10:34:00	4917.87	4920.23	4917.72	4919.73	508.0	0.0	31
2026.01.23	10:35:00	4919.74	4920.65	4914.63	4918.76	871.0	0.0	31
2026.01.23	10:36:00	4918.72	4922.1	4917.98	4921.73	1090.0	0.0	31
2026.01.23	10:37:00	4921.7	4924.44	4919.78	4924.44	957.0	0.0	31
2026.01.23	10:38:00	4924.6	4924.6	4922.6	4923.04	880.0	0.0	31
2026.01.23	10:39:00	4923.01	4924.27	4920.9	4921.12	765.0	0.0	31
2026.01.23	10:40:00	4921.04	4923.32	4919.42	4923.21	928.0	0.0	31
2026.01.23	10:41:00	4923.08	4923.14	4920.52	4922.45	756.0	0.0	31
2026.01.23	10:42:00	4922.54	4923.54	4921.99	4923.28	528.0	0.0	31
