label,window,window_start,window_end,entries,entry_sl_gap,sl_multiplier,pending_expiry,max_hold,final_target,tp1_lock_delay_minutes,tp2_lock_delay_minutes,tp1_lock_fraction,trailing_open_distance,trailing_close_distance,trailing_close_after_stage,pure_trading_pnl,rebate_pnl,net_pnl,closed_lots,pure_pnl_per_lot,net_pnl_per_lot,max_drawdown_pct,win_rate_pct,signals_included,tick_signals,m1_signals,open_or_pending_left,included_in_ranking,score,guard_reason
base_v017,may_jun,2026-05-01,2026-07-01,8,0.5,1.7,180,150,TP2,12,2,0.5,0.5,0.5,1,111704.18,761.1,112465.28,253.7,440.3003,443.3003,14.05,51.0,365,264,101,False,False,112465.28,excluded: mixed tick/M1 (partial tick lifecycle)
open_0_25,may_jun,2026-05-01,2026-07-01,8,0.5,1.7,180,150,TP2,12,2,0.5,0.25,0.5,1,140274.39,813.93,141088.32,271.31,517.0262,520.0262,13.62,51.8,365,264,101,False,False,141088.32,excluded: mixed tick/M1 (partial tick lifecycle)
open_0_50,may_jun,2026-05-01,2026-07-01,8,0.5,1.7,180,150,TP2,12,2,0.5,0.5,0.5,1,111704.18,761.1,112465.28,253.7,440.3003,443.3003,14.05,51.0,365,264,101,False,False,112465.28,excluded: mixed tick/M1 (partial tick lifecycle)
open_0_75,may_jun,2026-05-01,2026-07-01,8,0.5,1.7,180,150,TP2,12,2,0.5,0.75,0.5,1,109857.7,768.63,110626.33,256.21,428.7799,431.7799,14.17,52.2,365,264,101,False,False,110626.33,excluded: mixed tick/M1 (partial tick lifecycle)
open_1_00,may_jun,2026-05-01,2026-07-01,8,0.5,1.7,180,150,TP2,12,2,0.5,1.0,0.5,1,97993.76,727.41,98721.17,242.47,404.148,407.148,13.66,51.7,365,264,101,False,False,98721.17,excluded: mixed tick/M1 (partial tick lifecycle)
close_0_25_stage1,may_jun,2026-05-01,2026-07-01,8,0.5,1.7,180,150,TP2,12,2,0.5,0.5,0.25,1,113793.28,767.52,114560.8,255.84,444.783,447.783,14.03,51.0,365,264,101,False,False,114560.8,excluded: mixed tick/M1 (partial tick lifecycle)
close_0_50_stage1,may_jun,2026-05-01,2026-07-01,8,0.5,1.7,180,150,TP2,12,2,0.5,0.5,0.5,1,111704.18,761.1,112465.28,253.7,440.3003,443.3003,14.05,51.0,365,264,101,False,False,112465.28,excluded: mixed tick/M1 (partial tick lifecycle)
close_0_75_stage1,may_jun,2026-05-01,2026-07-01,8,0.5,1.7,180,150,TP2,12,2,0.5,0.5,0.75,1,109103.19,755.4,109858.59,251.8,433.2931,436.2931,14.08,51.0,365,264,101,False,False,109858.59,excluded: mixed tick/M1 (partial tick lifecycle)
close_0_50_stage2,may_jun,2026-05-01,2026-07-01,8,0.5,1.7,180,150,TP2,12,2,0.5,0.5,0.5,2,88437.67,682.71,89120.38,227.57,388.6174,391.6174,14.15,50.6,365,264,101,False,False,89120.38,excluded: mixed tick/M1 (partial tick lifecycle)
slm_1_60,may_jun,2026-05-01,2026-07-01,8,0.5,1.6,180,150,TP2,12,2,0.5,0.5,0.5,1,125685.37,838.71,126524.08,279.57,449.5667,452.5667,14.47,49.8,365,264,101,False,False,126524.08,excluded: mixed tick/M1 (partial tick lifecycle)
