cell,strategy,orig_rank,sl_multiplier,trailing_open,trailing_close,trail_after_stage,final_target,max_hold,activation_delay,est_jan_edge,est_jan_net,est_jan_dd,est_jan_oos,f_edge,f_net,f_dd,jan_edge,jan_net,jan_dd,jan_oos,jan_signals,tickmay_edge,tickmay_net,tickmay_dd,m1may_edge,m1may_net,m1may_dd
tcal_r01_slm16_to05_tc05_mh240_ad0,TC18,1,1.6,0.5,0.5,,,240,0,93945.95,1.1226241200447242e+17,44.39,5432.89,0.3663,0.001,1.0023,256472.7,1.122624120044724e+20,44.29,14831.8,10140,24646.8,1949323.06,34.81,67291.13,1857080725.52,34.73
tcal_r03_slm16_to05_tc075_mh240_ad0,TC18,3,1.6,0.5,0.75,,,240,0,92868.63,7.089182725168672e+16,44.78,5342.44,0.3676,0.0012,1.0014,252635.0,5.907652270973894e+19,44.72,14533.3,10140,24284.46,1831619.24,34.8,66066.24,1493631149.16,34.75
tcal_r18_slm18_to05_tc05_mh240_ad0,TC18,18,1.8,0.5,0.5,,,240,0,92396.28,1.1492741337273896e+16,42.95,5629.58,0.3489,0.0016,1.0016,264821.66,7.182963335796184e+18,42.88,16135.23,10140,23903.2,1199050.87,31.77,68513.11,742064859.98,31.72
tcal_r07_slm17_to05_tc05_mh240_ad0,TC18,7,1.7,0.5,0.5,,,240,0,91943.97,3.2200925156391188e+16,44.7,5410.92,0.354,0.0013,1.0022,259728.74,2.4769942427993223e+19,44.6,15285.08,10140,24196.74,1581083.56,32.46,68351.29,1223717628.29,32.39
tcal_r11_slm17_to05_tc075_mh240_ad0,TC18,11,1.7,0.5,0.75,,,240,0,90833.26,2.0137757510201756e+16,45.07,5318.27,0.3551,0.0015,0.9991,255796.29,1.3425171673467836e+19,45.11,14976.83,10140,23824.65,1478944.24,32.47,67089.4,990541820.4,32.5
tcal_r05_slm16_to07_tc05_mh240_ad0,TC18,5,1.6,0.7,0.5,,,240,0,88480.88,1.6747426747287142e+16,49.7,5222.0,0.3673,0.002,1.0019,240895.41,8.373713373643571e+18,49.61,14217.26,10140,23028.81,1647900.95,36.22,62689.48,806682058.92,36.15
tcal_r09_slm16_to07_tc075_mh240_ad0,TC18,9,1.6,0.7,0.75,,,240,0,87439.31,1.0986572552532854e+16,50.18,5133.6,0.3687,0.0024,1.0011,237155.7,4.577738563555356e+18,50.12,13923.51,10140,22677.47,1539833.23,36.22,61498.3,645547983.68,36.18
tcal_r15_slm17_to07_tc05_mh240_ad0,TC18,15,1.7,0.7,0.5,,,240,0,84984.85,4145223226731313.0,48.14,4982.09,0.3499,0.0024,1.0003,242883.25,1.7271763444713805e+18,48.13,14238.6,10140,22124.03,1231685.67,34.7,63225.76,506577053.21,34.69
tcal_r13_slm16_to05_tc05_mh240_ad2,TC18,13,1.6,0.5,0.5,,,240,2,82600.96,3054997951162653.5,44.58,4867.77,0.3771,0.0029,1.0003,219042.6,1.0534475693664324e+18,44.57,12908.42,10140,21792.14,1252306.7,34.17,57784.2,438736840.17,34.16
tcal_r02_slm16_to05_tc05_mh300_ad0,TC18,2,1.6,0.5,0.5,,,300,0,81622.01,1.212516804488329e+17,54.36,4694.08,0.3125,0.0007,1.0021,261190.43,1.7321668635547556e+20,54.25,15021.07,10140,22135.01,1869463.68,33.85,70822.61,2725890912.31,33.78
tcal_r19_slm16_to05_tc075_mh240_ad2,TC18,19,1.6,0.5,0.75,,,240,2,81567.77,1889262050049768.8,45.22,4779.83,0.3787,0.0033,1.0,215388.87,5.7250365153023296e+17,45.22,12621.67,10140,21437.62,1172659.22,34.29,56613.53,351832743.0,34.29
tcal_r06_slm17_to05_tc05_mh300_ad0,TC18,6,1.7,0.5,0.5,,,300,0,81268.97,3.507809005362694e+16,54.47,4704.92,0.3069,0.0009,1.0,264806.04,3.8975655615141044e+19,54.47,15330.47,10140,22167.34,1582800.54,30.97,72231.28,1816656063.18,30.97
tcal_r04_slm16_to05_tc075_mh300_ad0,TC18,4,1.6,0.5,0.75,,,300,0,80488.49,7.213041211749554e+16,54.73,4604.17,0.313,0.0008,0.9991,257151.73,9.016301514686942e+19,54.78,14709.82,10140,21759.42,1755813.65,33.88,69516.97,2157525890.36,33.91
tcal_r14_slm16_to05_tc05_mh240_ad1,TC18,14,1.6,0.5,0.5,,,240,1,80303.83,2277266609148335.0,46.0,4757.17,0.3717,0.003,0.9985,216044.74,7.590888697161116e+17,46.07,12798.41,10140,21266.21,1239855.26,34.21,57211.79,413590191.28,34.26
tcal_r16_slm18_to05_tc05_mh300_ad0,TC18,16,1.8,0.5,0.5,,,300,0,80161.75,1.1740520534200416e+16,53.01,4832.01,0.2968,0.0011,1.0017,270086.75,1.0673200485636741e+19,52.92,16280.37,10140,21539.3,1208652.81,29.7,72570.98,1082501807.45,29.65
tcal_r10_slm17_to05_tc075_mh300_ad0,TC18,10,1.7,0.5,0.75,,,300,0,80101.77,2.01361712582758e+16,55.04,4611.95,0.3073,0.001,1.0045,260663.09,2.01361712582758e+19,54.79,15007.97,10140,21782.0,1480626.58,31.1,70885.14,1453319613.61,30.96
tcal_r20_slm16_to05_tc075_mh240_ad1,TC18,20,1.6,0.5,0.75,,,240,1,79271.32,1457367165688623.8,46.39,4669.07,0.3732,0.0035,1.0,212409.76,4.1639061876817824e+17,46.39,12510.91,10140,20914.44,1158649.04,34.36,56044.62,334759648.02,34.36
tcal_r08_slm16_to07_tc05_mh300_ad0,TC18,8,1.6,0.7,0.5,,,300,0,78119.81,1.7313608746263098e+16,56.68,4487.81,0.3185,0.0014,0.9989,245274.14,1.2366863390187928e+19,56.74,14090.46,10140,21085.16,1565885.66,35.22,66203.43,1148045960.82,35.26
tcal_r12_slm16_to07_tc075_mh300_ad0,TC18,12,1.6,0.7,0.75,,,300,0,77012.16,1.039539988307761e+16,57.1,4398.54,0.3191,0.0016,0.9997,241341.76,6.497124926923506e+18,57.12,13784.21,10140,20721.57,1478655.86,35.34,64936.0,917306628.66,35.35
tcal_r17_slm17_to07_tc05_mh300_ad0,TC18,17,1.7,0.7,0.5,,,300,0,75204.16,4422157714457891.0,55.74,4244.93,0.303,0.0016,1.0039,248198.55,2.763848571536182e+18,55.52,14009.67,10140,20358.07,1202165.35,33.32,67195.02,744187536.82,33.19
tcal_r00_slm18_to05_tc05_mh300_ad2,TC18,0,1.8,0.5,0.5,,,300,2,67543.4,401227189188901.94,56.66,4050.4,0.2918,0.0028,1.0056,231471.56,1.4329542471032213e+17,56.34,13880.73,10140,18156.11,778174.88,28.93,62228.94,280617965.89,28.77
