cell,strategy,orig_rank,sl_multiplier,trailing_open,trailing_close,trail_after_stage,final_target,max_hold,activation_delay,est_jan_edge,est_jan_net,est_jan_dd,est_jan_oos,f_edge,f_net,f_dd,jan_edge,jan_net,jan_dd,jan_oos,jan_signals,tickmay_edge,tickmay_net,tickmay_dd,m1may_edge,m1may_net,m1may_dd
vcal_r01_to05_tc05_s1_slm15_TP2_ad1,VIC,1,1.5,0.5,0.5,1,TP2,,1,14023.5,995591.26,23.5,977.3,0.3876,0.2348,2.0382,36180.34,4240167.22,11.53,2521.41,1319,3343.98,23267.12,9.6,8628.33,99111.96,4.71
vcal_r02_to05_tc05_s1_slm15_TP2_ad0,VIC,2,1.5,0.5,0.5,1,TP2,,0,13952.01,1001151.05,23.5,999.26,0.3831,0.2296,2.0382,36418.71,4360414.0,11.53,2608.36,1319,3340.22,23241.22,9.6,8719.95,101228.72,4.71
vcal_r03_to05_tc05_s1_slm15_TP2_ad2,VIC,3,1.5,0.5,0.5,1,TP2,,2,13909.55,973341.77,23.57,968.07,0.3818,0.2278,2.0427,36431.51,4272790.91,11.54,2535.55,1319,3301.12,22731.8,9.56,8647.27,99793.26,4.68
vcal_r04_to05_tc15_s1_slm15_TP2_ad1,VIC,4,1.5,0.5,1.5,1,TP2,,1,13749.95,836514.11,23.15,946.82,0.3996,0.2478,1.9959,34409.28,3375763.14,11.6,2369.41,1319,3232.2,22325.85,9.68,8089.13,90094.88,4.85
vcal_r05_to05_tc15_s1_slm15_TP2_ad0,VIC,5,1.5,0.5,1.5,1,TP2,,0,13680.1,844221.07,23.15,969.53,0.3947,0.2432,1.9938,34659.49,3471303.75,11.61,2456.36,1319,3228.44,22299.95,9.69,8179.75,91681.11,4.86
vcal_r06_to05_tc15_s1_slm15_TP2_ad2,VIC,6,1.5,0.5,1.5,1,TP2,,2,13632.72,843402.15,22.5,938.17,0.3936,0.2455,1.9416,34635.98,3435446.65,11.59,2383.55,1319,3190.34,22095.51,9.65,8106.07,90018.15,4.97
vcal_r07_to05_tc05_s1_slm15_TP3_ad1,VIC,7,1.5,0.5,0.5,1,TP3,,1,13246.09,1345082.72,24.0,882.59,0.3336,0.2004,2.0763,39706.51,6711989.6,11.56,2645.66,1319,3054.89,21928.27,9.53,9157.81,109435.12,4.59
vcal_r08_to05_tc05_s1_slm15_TP3_ad0,VIC,8,1.5,0.5,0.5,1,TP3,,0,13213.36,1385338.47,23.62,901.49,0.3299,0.1969,2.0472,40052.63,7035746.43,11.54,2732.61,1319,3051.13,21902.37,9.54,9249.43,111219.16,4.66
vcal_r10_to05_tc05_s1_slm15_TP3_ad2,VIC,10,1.5,0.5,0.5,1,TP3,,2,13072.52,1307949.32,23.53,872.41,0.328,0.1948,2.0386,39855.25,6714318.87,11.54,2659.8,1319,3012.03,21569.53,9.5,9183.56,110752.12,4.66
vcal_r19_to05_tc15_s1_slm15_TP3_ad1,VIC,19,1.5,0.5,1.5,1,TP3,,1,12618.59,1023274.54,22.67,839.78,0.3402,0.2145,1.9455,37091.68,4770510.67,11.65,2468.49,1319,2880.93,20746.81,9.63,8469.26,96712.32,4.95
vcal_r11_to05_tc05_s2_slm15_TP3_ad0,VIC,11,1.5,0.5,0.5,2,TP3,,0,12055.56,592012.55,17.38,651.67,0.408,0.2918,1.42,29547.93,2028829.86,12.24,1597.23,1319,2983.0,21559.97,9.5,7310.45,73887.61,6.69
vcal_r14_to05_tc15_s2_slm15_TP2_ad0,VIC,14,1.5,0.5,1.5,2,TP2,,0,11969.19,342454.65,17.44,684.22,0.5107,0.3743,1.4309,23436.83,914920.25,12.19,1339.76,1319,3094.99,21379.14,9.73,6060.46,57110.32,6.8
vcal_r15_to05_tc05_s2_slm15_TP2_ad0,VIC,15,1.5,0.5,0.5,2,TP2,,0,11969.19,342454.65,17.44,684.22,0.5107,0.3743,1.4309,23436.83,914920.25,12.19,1339.76,1319,3094.99,21379.14,9.73,6060.46,57110.32,6.8
vcal_r09_to05_tc05_s2_slm15_TP3_ad1,VIC,9,1.5,0.5,0.5,2,TP3,,1,11898.03,538269.07,17.26,606.25,0.4157,0.2978,1.4116,28621.68,1807485.11,12.23,1458.39,1319,2984.68,21571.31,9.5,7179.88,72428.16,6.73
vcal_r12_to05_tc05_s2_slm15_TP2_ad1,VIC,12,1.5,0.5,0.5,2,TP2,,1,11851.9,325910.58,17.45,630.28,0.5215,0.3876,1.4315,22726.56,840842.56,12.19,1208.6,1319,3096.67,21390.48,9.72,5937.57,55186.73,6.79
vcal_r13_to05_tc15_s2_slm15_TP2_ad1,VIC,13,1.5,0.5,1.5,2,TP2,,1,11851.9,325910.58,17.45,630.28,0.5215,0.3876,1.4315,22726.56,840842.56,12.19,1208.6,1319,3096.67,21390.48,9.72,5937.57,55186.73,6.79
vcal_r16_to05_tc05_s2_slm15_TP3_ad2,VIC,16,1.5,0.5,0.5,2,TP3,,2,11738.69,524003.42,17.23,598.63,0.4103,0.296,1.4086,28610.01,1770281.83,12.23,1459.01,1319,2917.57,21027.39,9.48,7110.28,71031.54,6.73
vcal_r20_to05_tc05_s2_slm15_TP2_ad2,VIC,20,1.5,0.5,0.5,2,TP2,,2,11693.42,309966.53,17.45,624.8,0.5167,0.383,1.4307,22630.97,809312.09,12.2,1209.22,1319,3036.08,20749.71,9.7,5875.48,54176.69,6.78
vcal_r18_to05_tc15_s2_slm15_TP3_ad0,VIC,18,1.5,0.5,1.5,2,TP3,,0,11558.87,494964.53,17.2,626.11,0.415,0.3066,1.3962,27852.71,1614365.71,12.32,1508.69,1319,2867.51,20730.99,9.55,6909.78,67622.14,6.84
vcal_r17_to05_tc15_s2_slm15_TP3_ad1,VIC,17,1.5,0.5,1.5,2,TP3,,1,11396.5,461913.15,17.22,581.85,0.4229,0.3187,1.3962,26948.46,1449366.65,12.33,1375.85,1319,2869.19,20905.71,9.55,6785.21,65600.07,6.84
vcal_r00_to0_tc0_s0_slm17_TP2_ad2,VIC,0,1.7,0.0,0.0,0,TP2,,2,5980.72,55299.05,17.67,811.19,0.6805,0.6731,1.0788,8788.71,82155.77,16.38,1192.05,1319,1911.26,11787.26,5.61,2808.76,17512.3,5.2
