cell,strategy,entries,sl_multiplier,trailing_open,trailing_close,max_hold,activation_delay,jan_net,jan_dd,jan_edge,jan_oos,jan_signals,pass_dd40,pass_dd50
tcal_e8_slm18_to05_tc05_mh300_ad0,TC18,8,1.8,0.5,0.5,300,0,1.08805299921688e+19,54.31,309255.95,18918.96,10140,False,False
tcal_e8_slm18_to05_tc075_mh300_ad0,TC18,8,1.8,0.5,0.75,300,0,5.857575373028317e+18,54.69,304400.8,18535.21,10140,False,False
tcal_e8_slm17_to05_tc05_mh300_ad0,TC18,8,1.7,0.5,0.5,300,0,3.874129220386722e+19,55.58,303290.63,17965.02,10140,False,False
tcal_e8_slm18_to05_tc05_mh240_ad0,TC18,8,1.8,0.5,0.5,240,0,7.212854205240375e+18,44.33,302941.13,18757.68,10140,False,True
tcal_e8_slm17_to05_tc075_mh300_ad0,TC18,8,1.7,0.5,0.75,300,0,2.0654785084246086e+19,55.99,298557.73,17594.27,10140,False,False
tcal_e8_slm18_to05_tc075_mh240_ad0,TC18,8,1.8,0.5,0.75,240,0,4.0082189464982067e+18,44.63,298337.98,18390.18,10140,False,True
tcal_e8_slm16_to05_tc05_mh300_ad0,TC18,8,1.6,0.5,0.5,300,0,1.522677804754806e+20,55.49,298132.14,17558.29,10140,False,False
tcal_e8_slm17_to05_tc05_mh240_ad0,TC18,8,1.7,0.5,0.5,240,0,2.482688406514656e+19,45.77,297283.75,17924.13,10140,False,True
tcal_e8_slm16_to05_tc075_mh300_ad0,TC18,8,1.6,0.5,0.75,300,0,7.945191414996908e+19,55.87,293524.24,17200.04,10140,False,False
tcal_e8_slm16_to05_tc05_mh240_ad0,TC18,8,1.6,0.5,0.5,240,0,9.848484199719503e+19,45.5,292828.07,17366.91,10140,False,True
tcal_e8_slm17_to05_tc075_mh240_ad0,TC18,8,1.7,0.5,0.75,240,0,1.3168739572112816e+19,46.28,292791.85,17569.63,10140,False,True
tcal_e8_slm18_to07_tc05_mh300_ad0,TC18,8,1.8,0.7,0.5,300,0,1.174602330450139e+18,52.46,290640.97,17657.36,10140,False,False
tcal_e8_slm16_to05_tc075_mh240_ad0,TC18,8,1.6,0.5,0.75,240,0,5.274456088673581e+19,45.87,288449.17,17023.16,10140,False,True
tcal_e8_slm18_to07_tc075_mh300_ad0,TC18,8,1.8,0.7,0.75,300,0,6.40996410886795e+17,52.75,285903.68,17282.86,10140,False,False
tcal_e8_slm18_to07_tc05_mh240_ad0,TC18,8,1.8,0.7,0.5,240,0,7.729526852645016e+17,45.03,284790.93,17884.01,10140,False,True
tcal_e8_slm17_to07_tc05_mh300_ad0,TC18,8,1.7,0.7,0.5,300,0,2.9606516334378726e+18,54.98,283654.81,16024.85,10140,False,False
tcal_e8_slm16_to07_tc05_mh300_ad0,TC18,8,1.6,0.7,0.5,300,0,1.3770762272070945e+19,56.44,280601.66,16051.22,10140,False,False
tcal_e8_slm18_to07_tc075_mh240_ad0,TC18,8,1.8,0.7,0.75,240,0,4.3779106975009286e+17,45.3,280295.56,17526.76,10140,False,True
tcal_e8_slm17_to07_tc075_mh300_ad0,TC18,8,1.7,0.7,0.75,300,0,1.5935026839803244e+18,55.36,279049.27,15667.1,10140,False,False
tcal_e8_slm17_to07_tc05_mh240_ad0,TC18,8,1.7,0.7,0.5,240,0,1.9096828218291494e+18,47.28,277951.63,16299.85,10140,False,True
tcal_e8_slm16_to07_tc075_mh300_ad0,TC18,8,1.6,0.7,0.75,300,0,7.263999081254775e+18,56.7,276104.12,15701.72,10140,False,False
tcal_e8_slm16_to07_tc05_mh240_ad0,TC18,8,1.6,0.7,0.5,240,0,9.743325930141116e+18,49.3,275796.21,16237.79,10140,False,True
tcal_e8_slm17_to07_tc075_mh240_ad0,TC18,8,1.7,0.7,0.75,240,0,1.065055455790896e+18,47.59,273576.01,15957.6,10140,False,True
tcal_e8_slm16_to07_tc075_mh240_ad0,TC18,8,1.6,0.7,0.75,240,0,5.268570831485712e+18,49.61,271518.84,15903.79,10140,False,True
tcal_e8_slm18_to05_tc05_mh150_ad0,TC18,8,1.8,0.5,0.5,150,0,3.693518447087047e+17,39.5,271445.36,15959.77,10140,True,True
tcal_e7_slm18_to05_tc05_mh300_ad0,TC18,7,1.8,0.5,0.5,300,0,1.0673200485636741e+19,52.92,270086.75,16280.37,10140,False,False
tcal_e8_slm18_to05_tc075_mh150_ad0,TC18,8,1.8,0.5,0.75,150,0,2.2468441450213286e+17,39.93,267666.0,15672.02,10140,True,True
tcal_e8_slm17_to05_tc05_mh150_ad0,TC18,8,1.7,0.5,0.5,150,0,1.2542556297399475e+18,39.07,267307.88,15550.96,10140,True,True
tcal_e7_slm18_to05_tc075_mh300_ad0,TC18,7,1.8,0.5,0.75,300,0,5.760167333953467e+18,53.15,265835.3,15945.62,10140,False,False
tcal_e7_slm18_to05_tc05_mh240_ad0,TC18,7,1.8,0.5,0.5,240,0,7.182963335796184e+18,42.88,264821.66,16135.23,10140,False,True
tcal_e7_slm17_to05_tc05_mh300_ad0,TC18,7,1.7,0.5,0.5,300,0,3.8975655615141044e+19,54.47,264806.04,15330.47,10140,False,False
tcal_e8_slm18_to05_tc05_mh300_ad2,TC18,8,1.8,0.5,0.5,300,2,1.4247108251320406e+17,57.33,264586.68,16160.49,10140,False,False
tcal_e8_slm16_to05_tc05_mh150_ad0,TC18,8,1.6,0.5,0.5,150,0,4.764161091944281e+18,38.68,264127.63,15113.56,10140,True,True
tcal_e8_slm17_to05_tc075_mh150_ad0,TC18,8,1.7,0.5,0.75,150,0,7.443263328697591e+17,39.5,263600.77,15268.71,10140,True,True
tcal_e8_slm18_to05_tc05_mh300_ad1,TC18,8,1.8,0.5,0.5,300,1,1.0583281679039144e+17,58.16,261483.97,16147.13,10140,False,False
tcal_e7_slm16_to05_tc05_mh300_ad0,TC18,7,1.6,0.5,0.5,300,0,1.7321668635547556e+20,54.25,261190.43,15021.07,10140,False,False
tcal_e8_slm18_to05_tc05_mh240_ad2,TC18,8,1.8,0.5,0.5,240,2,1.2568461423010755e+17,45.98,261137.82,16621.57,10140,False,True
tcal_e7_slm18_to05_tc075_mh240_ad0,TC18,7,1.8,0.5,0.75,240,0,3.9515839444239094e+18,43.31,260790.96,15814.73,10140,False,True
tcal_e7_slm17_to05_tc075_mh300_ad0,TC18,7,1.7,0.5,0.75,300,0,2.01361712582758e+19,54.79,260663.09,15007.97,10140,False,False
tcal_e8_slm16_to05_tc075_mh150_ad0,TC18,8,1.6,0.5,0.75,150,0,2.8092248912950436e+18,39.31,260495.27,14838.56,10140,True,True
tcal_e8_slm17_to05_tc05_mh300_ad2,TC18,8,1.7,0.5,0.5,300,2,4.6582143164096186e+17,58.53,259982.26,15492.33,10140,False,False
tcal_e8_slm18_to05_tc075_mh300_ad2,TC18,8,1.8,0.5,0.75,300,2,7.83265284862208e+16,57.48,259952.62,15792.24,10140,False,False
tcal_e7_slm17_to05_tc05_mh240_ad0,TC18,7,1.7,0.5,0.5,240,0,2.4769942427993223e+19,44.6,259728.74,15285.08,10140,False,True
tcal_e8_slm18_to05_tc05_mh240_ad1,TC18,8,1.8,0.5,0.5,240,1,8.838134844156043e+16,46.97,257274.81,16560.23,10140,False,True
tcal_e7_slm16_to05_tc075_mh300_ad0,TC18,7,1.6,0.5,0.75,300,0,9.016301514686942e+19,54.78,257151.73,14709.82,10140,False,False
tcal_e8_slm17_to05_tc05_mh300_ad1,TC18,8,1.7,0.5,0.5,300,1,3.6388908310673626e+17,59.43,257064.14,15503.99,10140,False,False
tcal_e8_slm18_to05_tc075_mh300_ad1,TC18,8,1.8,0.5,0.75,300,1,5.791303699418543e+16,58.5,256869.66,15776.88,10140,False,False
tcal_e8_slm18_to05_tc075_mh240_ad2,TC18,8,1.8,0.5,0.75,240,2,6.9723075298915464e+16,46.63,256741.93,16268.07,10140,False,True
tcal_e7_slm16_to05_tc05_mh240_ad0,TC18,7,1.6,0.5,0.5,240,0,1.122624120044724e+20,44.29,256472.7,14831.8,10140,False,True
tcal_e8_slm17_to05_tc05_mh240_ad2,TC18,8,1.7,0.5,0.5,240,2,3.8226869083510125e+17,47.59,256249.41,15929.22,10140,False,True
tcal_e7_slm17_to05_tc075_mh240_ad0,TC18,7,1.7,0.5,0.75,240,0,1.3425171673467836e+19,45.11,255796.29,14976.83,10140,False,True
tcal_e8_slm17_to05_tc075_mh300_ad2,TC18,8,1.7,0.5,0.75,300,2,2.550379574036114e+17,58.65,255463.45,15136.83,10140,False,False
tcal_e7_slm18_to07_tc05_mh300_ad0,TC18,7,1.8,0.7,0.5,300,0,1.1560597784977464e+18,53.38,254720.21,15450.87,10140,False,False
tcal_e8_slm18_to07_tc05_mh150_ad0,TC18,8,1.8,0.7,0.5,150,0,4.52454281016212e+16,38.94,254084.52,14977.49,10140,True,True
tcal_e8_slm18_to05_tc075_mh240_ad1,TC18,8,1.8,0.5,0.75,240,1,5.007282390293052e+16,47.58,252899.42,16204.48,10140,False,True
tcal_e8_slm17_to05_tc05_mh240_ad1,TC18,8,1.7,0.5,0.5,240,1,2.984982373386664e+17,48.72,252894.95,15891.94,10140,False,True
tcal_e8_slm16_to05_tc05_mh300_ad2,TC18,8,1.6,0.5,0.5,300,2,1.1138506002239919e+18,57.4,252788.9,14842.21,10140,False,False
tcal_e7_slm16_to05_tc075_mh240_ad0,TC18,7,1.6,0.5,0.75,240,0,5.907652270973894e+19,44.72,252635.0,14533.3,10140,False,True
tcal_e8_slm17_to05_tc075_mh300_ad1,TC18,8,1.7,0.5,0.75,300,1,2.0111621733475987e+17,59.61,252562.58,15147.24,10140,False,False
tcal_e8_slm17_to05_tc075_mh240_ad2,TC18,8,1.7,0.5,0.75,240,2,2.1273800373814246e+17,47.78,251959.77,15588.22,10140,False,True
tcal_e7_slm18_to07_tc075_mh300_ad0,TC18,7,1.8,0.7,0.75,300,0,6.287527218603035e+17,53.82,250575.58,15122.62,10140,False,False
tcal_e8_slm18_to07_tc075_mh150_ad0,TC18,8,1.8,0.7,0.75,150,0,2.771003472987492e+16,39.27,250420.44,14698.49,10140,True,True
tcal_e8_slm16_to05_tc05_mh300_ad1,TC18,8,1.6,0.5,0.5,300,1,8.421339614742922e+17,58.33,250123.65,14837.48,10140,False,False
tcal_e8_slm16_to05_tc05_mh240_ad2,TC18,8,1.6,0.5,0.5,240,2,9.526854827842031e+17,45.53,249906.99,15117.48,10140,False,True
tcal_e7_slm18_to07_tc05_mh240_ad0,TC18,7,1.8,0.7,0.5,240,0,7.275076284765683e+17,46.49,249198.65,15595.66,10140,False,True
tcal_e8_slm17_to05_tc075_mh240_ad1,TC18,8,1.7,0.5,0.75,240,1,1.6341001006413498e+17,49.06,248622.81,15549.44,10140,False,True
tcal_e8_slm18_to07_tc05_mh300_ad2,TC18,8,1.8,0.7,0.5,300,2,2.0692844618607276e+16,56.73,248416.37,15402.43,10140,False,False
tcal_e8_slm17_to07_tc05_mh150_ad0,TC18,8,1.7,0.7,0.5,150,0,1.0364651989474898e+17,39.36,248400.09,14140.32,10140,True,True
tcal_e8_slm16_to05_tc075_mh300_ad2,TC18,8,1.6,0.5,0.75,300,2,5.869046965726019e+17,57.64,248397.84,14499.46,10140,False,False
tcal_e7_slm17_to07_tc05_mh300_ad0,TC18,7,1.7,0.7,0.5,300,0,2.763848571536182e+18,55.52,248198.55,14009.67,10140,False,False
tcal_e8_slm16_to07_tc05_mh150_ad0,TC18,8,1.6,0.7,0.5,150,0,5.171855481592125e+17,40.43,247853.18,14014.04,10140,False,True
tcal_e8_slm16_to05_tc05_mh240_ad1,TC18,8,1.6,0.5,0.5,240,1,7.006875024555721e+17,46.78,246618.25,15029.52,10140,False,True
tcal_e8_slm16_to05_tc075_mh300_ad1,TC18,8,1.6,0.5,0.75,300,1,4.520699982121784e+17,58.72,245753.59,14493.73,10140,False,False
tcal_e8_slm16_to05_tc075_mh240_ad2,TC18,8,1.6,0.5,0.75,240,2,5.177178092243869e+17,46.03,245731.6,14787.98,10140,False,True
tcal_e8_slm18_to07_tc05_mh300_ad1,TC18,8,1.8,0.7,0.5,300,1,1.6570077976478282e+16,57.5,245670.92,15510.61,10140,False,False
tcal_e7_slm16_to07_tc05_mh300_ad0,TC18,7,1.6,0.7,0.5,300,0,1.2366863390187928e+19,56.74,245274.14,14090.46,10140,False,False
tcal_e7_slm18_to07_tc075_mh240_ad0,TC18,7,1.8,0.7,0.75,240,0,4.098425391691927e+17,46.54,245266.94,15281.66,10140,False,True
tcal_e8_slm17_to07_tc075_mh150_ad0,TC18,8,1.7,0.7,0.75,150,0,6.342291973856565e+16,39.82,244814.01,13868.07,10140,True,True
tcal_e8_slm18_to07_tc05_mh240_ad2,TC18,8,1.8,0.7,0.5,240,2,1.7075875366046562e+16,47.48,244583.89,15929.95,10140,False,True
tcal_e8_slm16_to07_tc075_mh150_ad0,TC18,8,1.6,0.7,0.75,150,0,3.102333698319361e+17,40.94,244333.35,13748.54,10140,False,True
tcal_e7_slm17_to07_tc075_mh300_ad0,TC18,7,1.7,0.7,0.75,300,0,1.496319372799967e+18,56.08,244171.17,13696.42,10140,False,False
tcal_e8_slm18_to07_tc075_mh300_ad2,TC18,8,1.8,0.7,0.75,300,2,1.1532963674255606e+16,57.04,243879.06,15039.93,10140,False,False
tcal_e7_slm17_to07_tc05_mh240_ad0,TC18,7,1.7,0.7,0.5,240,0,1.7271763444713805e+18,48.13,242883.25,14238.6,10140,False,True
tcal_e8_slm16_to05_tc075_mh240_ad1,TC18,8,1.6,0.5,0.75,240,1,3.865108293521649e+17,47.13,242464.86,14698.77,10140,False,True
tcal_e8_slm17_to07_tc05_mh300_ad2,TC18,8,1.7,0.7,0.5,300,2,4.218779816219259e+16,59.18,241975.53,13781.65,10140,False,False
tcal_e8_slm18_to07_tc05_mh240_ad1,TC18,8,1.8,0.7,0.5,240,1,1.3231314657458158e+16,48.51,241473.78,16041.79,10140,False,True
tcal_e7_slm16_to07_tc075_mh300_ad0,TC18,7,1.6,0.7,0.75,300,0,6.497124926923506e+18,57.12,241341.76,13784.21,10140,False,False
tcal_e8_slm18_to07_tc075_mh300_ad1,TC18,8,1.8,0.7,0.75,300,1,9258690233383104.0,57.59,241148.89,15145.36,10140,False,False
tcal_e7_slm16_to07_tc05_mh240_ad0,TC18,7,1.6,0.7,0.5,240,0,8.373713373643571e+18,49.61,240895.41,14217.26,10140,False,True
tcal_e8_slm18_to07_tc075_mh240_ad2,TC18,8,1.8,0.7,0.75,240,2,9637610332815646.0,47.87,240283.5,15582.95,10140,False,True
tcal_e7_slm17_to07_tc075_mh240_ad0,TC18,7,1.7,0.7,0.75,240,0,9.444016151931992e+17,48.34,239057.29,13937.85,10140,False,True
tcal_e8_slm17_to07_tc05_mh300_ad1,TC18,8,1.7,0.7,0.5,300,1,3.232056572516288e+16,59.85,238612.61,13905.0,10140,False,False
tcal_e8_slm17_to07_tc05_mh240_ad2,TC18,8,1.7,0.7,0.5,240,2,3.291180143094327e+16,49.52,237864.16,14247.97,10140,False,True
tcal_e8_slm17_to07_tc075_mh300_ad2,TC18,8,1.7,0.7,0.75,300,2,2.3265046079431116e+16,59.54,237568.22,13436.65,10140,False,False
tcal_e7_slm18_to05_tc05_mh150_ad0,TC18,7,1.8,0.5,0.5,150,0,3.701790499825985e+17,38.08,237343.89,13795.07,10140,True,True
tcal_e8_slm18_to07_tc075_mh240_ad1,TC18,8,1.8,0.7,0.75,240,1,7628461946560213.0,48.89,237182.67,15692.04,10140,False,True
tcal_e7_slm16_to07_tc075_mh240_ad0,TC18,7,1.6,0.7,0.75,240,0,4.577738563555356e+18,50.12,237155.7,13923.51,10140,False,False
tcal_e8_slm16_to07_tc05_mh300_ad2,TC18,8,1.6,0.7,0.5,300,2,1.227191256879953e+17,59.34,236855.63,14092.95,10140,False,False
tcal_e8_slm18_to05_tc05_mh90_ad0,TC18,8,1.8,0.5,0.5,90,0,8118709013514046.0,27.59,234857.1,13358.28,10140,True,True
tcal_e8_slm16_to07_tc05_mh300_ad1,TC18,8,1.6,0.7,0.5,300,1,1.0174047347906634e+17,60.25,234552.83,14094.81,10140,False,False
tcal_e8_slm17_to07_tc05_mh240_ad1,TC18,8,1.7,0.7,0.5,240,1,2.517621430707886e+16,50.44,234226.13,14356.96,10140,False,False
tcal_e8_slm17_to07_tc075_mh300_ad1,TC18,8,1.7,0.7,0.75,300,1,1.81410927707801e+16,60.07,234221.08,13558.0,10140,False,False
tcal_e7_slm18_to05_tc075_mh150_ad0,TC18,7,1.8,0.5,0.75,150,0,2.269619324456306e+17,38.51,234031.85,13544.07,10140,True,True
tcal_e8_slm17_to07_tc075_mh240_ad2,TC18,8,1.7,0.7,0.75,240,2,1.85956053060262e+16,50.01,233683.27,13916.72,10140,False,False
tcal_e7_slm17_to05_tc05_mh150_ad0,TC18,7,1.7,0.5,0.5,150,0,1.2609846205593247e+18,38.3,233677.63,13375.41,10140,True,True
tcal_e8_slm16_to07_tc05_mh240_ad2,TC18,8,1.6,0.7,0.5,240,2,1.0331252720662923e+17,50.31,233627.7,14449.94,10140,False,False
tcal_e8_slm16_to07_tc075_mh300_ad2,TC18,8,1.6,0.7,0.75,300,2,6.65644321123033e+16,59.64,232563.57,13753.2,10140,False,False
tcal_e8_slm18_to05_tc075_mh90_ad0,TC18,8,1.8,0.5,0.75,90,0,5870197031444731.0,27.64,232355.79,13187.03,10140,True,True
tcal_e8_slm17_to05_tc05_mh90_ad0,TC18,8,1.7,0.5,0.5,90,0,2.444056755569032e+16,27.83,231674.75,13032.69,10140,True,True
tcal_e7_slm16_to05_tc05_mh150_ad0,TC18,7,1.6,0.5,0.5,150,0,5.430131983152623e+18,38.08,231599.61,13015.17,10140,True,True
tcal_e7_slm18_to05_tc05_mh300_ad2,TC18,7,1.8,0.5,0.5,300,2,1.4329542471032213e+17,56.34,231471.56,13880.73,10140,False,False
tcal_e8_slm16_to07_tc05_mh240_ad1,TC18,8,1.6,0.7,0.5,240,1,8.370285838200534e+16,51.65,231039.56,14437.08,10140,False,False
tcal_e8_slm18_to05_tc05_mh150_ad2,TC18,8,1.8,0.5,0.5,150,2,7061582456117117.0,40.5,230913.86,14018.04,10140,False,True
tcal_e7_slm17_to05_tc075_mh150_ad0,TC18,7,1.7,0.5,0.75,150,0,7.560845425099374e+17,38.72,230430.59,13129.66,10140,True,True
tcal_e8_slm16_to07_tc075_mh300_ad1,TC18,8,1.6,0.7,0.75,300,1,5.501572414763026e+16,60.68,230279.55,13754.06,10140,False,False
tcal_e8_slm17_to07_tc075_mh240_ad1,TC18,8,1.7,0.7,0.75,240,1,1.404394043796984e+16,51.05,230055.52,14023.71,10140,False,False
tcal_e8_slm16_to07_tc075_mh240_ad2,TC18,8,1.6,0.7,0.75,240,2,5.7437488257075464e+16,50.63,229551.31,14123.94,10140,False,False
tcal_e8_slm17_to05_tc075_mh90_ad0,TC18,8,1.7,0.5,0.75,90,0,1.7369072601762166e+16,27.88,229207.44,12863.19,10140,True,True
tcal_e8_slm16_to05_tc05_mh90_ad0,TC18,8,1.6,0.5,0.5,90,0,7.718026837571195e+16,27.97,229162.23,12747.62,10140,True,True
tcal_e7_slm18_to05_tc05_mh240_ad2,TC18,7,1.8,0.5,0.5,240,2,1.3224254401586565e+17,44.92,228749.86,14312.86,10140,False,True
tcal_e7_slm18_to05_tc05_mh300_ad1,TC18,7,1.8,0.5,0.5,300,1,1.0609147676721062e+17,57.16,228706.84,13850.17,10140,False,False
tcal_e7_slm16_to05_tc075_mh150_ad0,TC18,7,1.6,0.5,0.75,150,0,3.1731071985816033e+18,38.47,228414.82,12775.67,10140,True,True
tcal_e8_slm17_to05_tc05_mh150_ad2,TC18,8,1.7,0.5,0.5,150,2,2.1226948962392916e+16,40.44,227880.98,13686.18,10140,False,True
tcal_e7_slm17_to05_tc05_mh300_ad2,TC18,7,1.7,0.5,0.5,300,2,4.818595992971101e+17,57.63,227488.15,13082.67,10140,False,False
tcal_e7_slm18_to05_tc075_mh300_ad2,TC18,7,1.8,0.5,0.75,300,2,7.941236316365202e+16,56.64,227417.91,13558.98,10140,False,False
tcal_e8_slm18_to05_tc075_mh150_ad2,TC18,8,1.8,0.5,0.75,150,2,4429302419279674.5,40.76,227331.26,13734.54,10140,False,True
tcal_e8_slm16_to07_tc075_mh240_ad1,TC18,8,1.6,0.7,0.75,240,1,4.6577302921686696e+16,51.93,226977.45,14110.08,10140,False,False
tcal_e8_slm16_to05_tc075_mh90_ad0,TC18,8,1.6,0.5,0.75,90,0,5.371507843392546e+16,28.02,226730.42,12581.37,10140,True,True
tcal_e8_slm18_to05_tc05_mh150_ad1,TC18,8,1.8,0.5,0.5,150,1,4735347275394244.0,40.32,226177.56,13924.43,10140,False,True
tcal_e7_slm18_to05_tc05_mh240_ad1,TC18,7,1.8,0.5,0.5,240,1,9.285850183752994e+16,46.02,225330.2,14230.27,10140,False,True
tcal_e7_slm18_to05_tc075_mh240_ad2,TC18,7,1.8,0.5,0.75,240,2,7.535022080471758e+16,45.37,224904.63,14004.11,10140,False,True
tcal_e7_slm17_to05_tc05_mh300_ad1,TC18,7,1.7,0.5,0.5,300,1,3.748045034095655e+17,58.6,224865.1,13069.0,10140,False,False
tcal_e7_slm18_to05_tc075_mh300_ad1,TC18,7,1.8,0.5,0.75,300,1,5.8731129607019944e+16,57.45,224670.19,13526.92,10140,False,False
tcal_e7_slm17_to05_tc05_mh240_ad2,TC18,7,1.7,0.5,0.5,240,2,4.0048887888351424e+17,46.74,224419.03,13491.2,10140,False,True
tcal_e8_slm17_to05_tc075_mh150_ad2,TC18,8,1.7,0.5,0.75,150,2,1.306621947605734e+16,40.94,224367.38,13408.43,10140,False,True
tcal_e7_slm17_to05_tc075_mh300_ad2,TC18,7,1.7,0.5,0.75,300,2,2.601163344068352e+17,57.93,223536.75,12773.42,10140,False,False
tcal_e8_slm17_to05_tc05_mh150_ad1,TC18,8,1.7,0.5,0.5,150,1,1.5301934678379524e+16,40.23,223422.56,13588.11,10140,False,True
tcal_e8_slm16_to05_tc05_mh150_ad2,TC18,8,1.6,0.5,0.5,150,2,5.362188065044559e+16,38.31,223146.48,13104.05,10140,True,True
tcal_e8_slm18_to05_tc075_mh150_ad1,TC18,8,1.8,0.5,0.75,150,1,2953955548135452.0,40.81,222604.71,13640.18,10140,False,True
tcal_e7_slm18_to07_tc05_mh150_ad0,TC18,7,1.8,0.7,0.5,150,0,4.033120731207605e+16,40.39,221935.96,13056.57,10140,False,True
tcal_e7_slm16_to05_tc05_mh300_ad2,TC18,7,1.6,0.5,0.5,300,2,1.211372509344912e+18,56.82,221571.2,12654.78,10140,False,False
tcal_e7_slm18_to05_tc075_mh240_ad1,TC18,7,1.8,0.5,0.75,240,1,5.298302925623124e+16,46.35,221501.97,13919.77,10140,False,True
tcal_e7_slm17_to05_tc05_mh240_ad1,TC18,7,1.7,0.5,0.5,240,1,3.107454677566404e+17,47.99,221417.19,13425.81,10140,False,True
tcal_e7_slm17_to05_tc075_mh300_ad1,TC18,7,1.7,0.5,0.75,300,1,2.0081210428666054e+17,59.04,220928.95,12759.0,10140,False,False
tcal_e7_slm17_to05_tc075_mh240_ad2,TC18,7,1.7,0.5,0.75,240,2,2.223886360706676e+17,47.14,220667.3,13194.7,10140,False,True
tcal_e8_slm17_to05_tc075_mh150_ad1,TC18,8,1.7,0.5,0.75,150,1,9451108178891910.0,40.78,219916.96,13310.36,10140,False,True
tcal_e8_slm16_to05_tc075_mh150_ad2,TC18,8,1.6,0.5,0.75,150,2,3.222059743818679e+16,38.84,219708.63,12834.05,10140,True,True
tcal_e7_slm16_to05_tc05_mh300_ad1,TC18,7,1.6,0.5,0.5,300,1,9.114096070281746e+17,57.72,219116.96,12619.39,10140,False,False
tcal_e7_slm16_to05_tc05_mh240_ad2,TC18,7,1.6,0.5,0.5,240,2,1.0534475693664324e+18,44.57,219042.6,12908.42,10140,False,True
tcal_e8_slm16_to05_tc05_mh150_ad1,TC18,8,1.6,0.5,0.5,150,1,3.685721339831587e+16,38.53,218803.8,12948.56,10140,True,True
tcal_e7_slm18_to07_tc075_mh150_ad0,TC18,7,1.8,0.7,0.75,150,0,2.5036351254252572e+16,40.7,218731.66,12811.32,10140,False,True
tcal_e7_slm18_to07_tc05_mh300_ad2,TC18,7,1.8,0.7,0.5,300,2,2.0459770984560144e+16,57.66,217835.01,13510.02,10140,False,False
tcal_e7_slm16_to05_tc075_mh300_ad2,TC18,7,1.6,0.5,0.75,300,2,6.433209357625944e+17,57.22,217729.05,12356.53,10140,False,False
tcal_e7_slm17_to05_tc075_mh240_ad1,TC18,7,1.7,0.5,0.75,240,1,1.693578699204103e+17,48.33,217680.46,13128.31,10140,False,True
