cell,strategy,entries,sl_multiplier,trailing_open,trailing_close,trail_after_stage,final_target,max_hold,activation_delay,est_jan_edge,tick_oos,est_jan_oos,est_jan_dd,pass_dd40,pass_dd50,f_edge,f_dd,tickmay_edge,tickmay_dd,tickmay_net,m1may_edge,m1may_dd,m1may_net,m1_jan_edge,m1_jan_oos,m1_jan_dd,m1_jan_net,jan_signals
tcal_e8_slm18_to05_tc05_mh150_ad0,TC18,8,1.8,0.5,0.5,,,150,0,108985.31,51.8,6407.85,38.6,True,True,0.4015,0.9773,27691.27,29.64,1172782.25,68972.8,30.33,295708910.38,271445.36,15959.77,39.5,3.693518447087047e+17,10140
tcal_e8_slm18_to05_tc075_mh150_ad0,TC18,8,1.8,0.5,0.75,,,150,0,107949.7,47.8,6320.53,38.8,True,True,0.4033,0.9718,27347.45,29.68,1124273.21,67812.0,30.54,250312538.59,267666.0,15672.02,39.93,2.2468441450213286e+17,10140
tcal_e8_slm16_to05_tc05_mh240_ad0,TC18,8,1.6,0.5,0.5,,,240,0,107350.77,134.53,6366.71,45.47,False,True,0.3666,0.9994,28235.46,35.34,1974445.65,77022.99,35.36,1844449362.82,292828.07,17366.91,45.5,9.848484199719503e+19,10140
tcal_e8_slm17_to05_tc05_mh150_ad0,TC18,8,1.7,0.5,0.5,,,150,0,106522.19,-907.07,6197.06,36.71,True,True,0.3985,0.9395,27330.75,29.96,1461622.4,68586.74,31.89,459645768.26,267307.88,15550.96,39.07,1.2542556297399475e+18,10140
tcal_e8_slm16_to05_tc075_mh240_ad0,TC18,8,1.6,0.5,0.75,,,240,0,106149.29,134.53,6264.52,45.76,False,True,0.368,0.9977,27825.8,35.27,1831690.9,75623.65,35.35,1467219515.76,288449.17,17023.16,45.87,5.274456088673581e+19,10140
tcal_e8_slm16_to05_tc05_mh150_ad0,TC18,8,1.6,0.5,0.5,,,150,0,106126.48,-563.09,6072.63,36.09,True,True,0.4018,0.933,27101.47,31.6,1766873.8,67458.03,33.87,638612340.02,264127.63,15113.56,38.68,4.764161091944281e+18,10140
tcal_e8_slm17_to05_tc075_mh150_ad0,TC18,8,1.7,0.5,0.75,,,150,0,105493.03,-911.07,6110.54,37.03,True,True,0.4002,0.9374,26991.43,30.08,1382237.95,67444.94,32.09,385273957.46,263600.77,15268.71,39.5,7.443263328697591e+17,10140
tcal_e8_slm18_to05_tc05_mh240_ad0,TC18,8,1.8,0.5,0.5,,,240,0,105393.22,455.19,6525.8,44.48,False,True,0.3479,1.0034,27464.27,32.04,1184250.58,78935.52,31.93,789457444.11,302941.13,18757.68,44.33,7.212854205240375e+18,10140
tcal_e8_slm16_to05_tc075_mh150_ad0,TC18,8,1.6,0.5,0.75,,,150,0,105109.84,-566.84,5987.36,36.45,True,True,0.4035,0.9273,26768.9,31.62,1689547.16,66345.98,34.1,534922642.77,260495.27,14838.56,39.31,2.8092248912950436e+18,10140
tcal_e8_slm17_to05_tc05_mh240_ad0,TC18,8,1.7,0.5,0.5,,,240,0,105000.62,-369.6,6330.8,45.7,False,True,0.3532,0.9985,27786.84,32.85,1600592.66,78672.72,32.9,1316004656.73,297283.75,17924.13,45.77,2.482688406514656e+19,10140
tcal_e8_slm18_to05_tc075_mh240_ad0,TC18,8,1.8,0.5,0.75,,,240,0,104149.79,455.19,6420.01,44.44,False,True,0.3491,0.9957,27036.86,32.14,1121356.63,77457.18,32.28,636792877.6,298337.98,18390.18,44.63,4.0082189464982067e+18,10140
tcal_e8_slm17_to05_tc075_mh240_ad0,TC18,8,1.7,0.5,0.75,,,240,0,103736.15,-369.6,6224.92,46.38,False,True,0.3543,1.0021,27365.68,32.98,1477801.43,77229.38,32.91,1048005763.07,292791.85,17569.63,46.28,1.3168739572112816e+19,10140
tcal_e8_slm18_to07_tc05_mh150_ad0,TC18,8,1.8,0.7,0.5,,,150,0,101455.95,-127.92,5980.51,35.51,True,True,0.3993,0.9119,25561.99,27.55,927210.41,64010.64,30.21,151188644.94,254084.52,14977.49,38.94,4.52454281016212e+16,10140
tcal_e8_slm17_to07_tc05_mh150_ad0,TC18,8,1.7,0.7,0.5,,,150,0,100651.72,-224.3,5729.66,35.77,True,True,0.4052,0.9089,25349.79,29.93,1121539.82,62567.98,32.93,186906665.56,248400.09,14140.32,39.36,1.0364651989474898e+17,10140
tcal_e8_slm18_to07_tc075_mh150_ad0,TC18,8,1.8,0.7,0.75,,,150,0,100443.64,-131.92,5895.56,35.73,True,True,0.4011,0.9099,25222.74,27.67,881599.92,62881.84,30.41,128784814.42,250420.44,14698.49,39.27,2.771003472987492e+16,10140
