cell,strategy,entries,trailing_open,trailing_close,trail_after_stage,sl_multiplier,final_target,activation_delay,max_hold,jan_net,jan_dd,jan_edge,jan_oos,jan_signals,pass_dd40,pass_dd50
vcal_e8_to05_tc05_s1_slm17_TP3_ad0_mh240,VIC,8,0.5,0.5,1,1.7,TP3,0,240,4914300.95,11.83,48822.36,3260.91,1319,True,True
vcal_e8_to05_tc05_s1_slm17_TP3_ad0_mh300,VIC,8,0.5,0.5,1,1.7,TP3,0,300,4733608.58,11.82,48678.41,3284.46,1319,True,True
vcal_e8_to05_tc05_s1_slm17_TP3_ad2_mh240,VIC,8,0.5,0.5,1,1.7,TP3,2,240,4768373.19,11.83,48664.88,3127.67,1319,True,True
vcal_e8_to05_tc05_s1_slm17_TP3_ad2_mh300,VIC,8,0.5,0.5,1,1.7,TP3,2,300,4589754.07,11.82,48422.88,3151.22,1319,True,True
vcal_e8_to05_tc05_s1_slm17_TP3_ad1_mh240,VIC,8,0.5,0.5,1,1.7,TP3,1,240,4766461.99,11.83,48403.64,3112.75,1319,True,True
vcal_e8_to05_tc05_s1_slm17_TP3_ad1_mh300,VIC,8,0.5,0.5,1,1.7,TP3,1,300,4570178.36,11.81,48205.34,3136.3,1319,True,True
vcal_e8_to05_tc05_s1_slm17_TP3_ad0_mh150,VIC,8,0.5,0.5,1,1.7,TP3,0,150,4418474.65,11.83,47545.7,3129.89,1319,True,True
vcal_e8_to05_tc05_s1_slm17_TP3_ad2_mh150,VIC,8,0.5,0.5,1,1.7,TP3,2,150,4240746.82,11.81,47254.21,3096.05,1319,True,True
vcal_e8_to05_tc05_s1_slm17_TP3_ad1_mh150,VIC,8,0.5,0.5,1,1.7,TP3,1,150,4279231.78,11.81,47065.06,3074.0,1319,True,True
vcal_e8_to05_tc05_s1_slm15_TP3_ad0_mh240,VIC,8,0.5,0.5,1,1.5,TP3,0,240,7322094.75,11.7,46689.56,3196.97,1319,True,True
vcal_e8_to05_tc05_s1_slm15_TP3_ad0_mh300,VIC,8,0.5,0.5,1,1.5,TP3,0,300,6998400.64,11.67,46569.16,3198.57,1319,True,True
vcal_e8_to05_tc05_s1_slm15_TP3_ad2_mh240,VIC,8,0.5,0.5,1,1.5,TP3,2,240,6994468.91,11.68,46453.98,3063.73,1319,True,True
vcal_e8_to05_tc05_s1_slm15_TP3_ad1_mh240,VIC,8,0.5,0.5,1,1.5,TP3,1,240,7010845.58,11.7,46333.18,3048.81,1319,True,True
vcal_e8_to05_tc05_s1_slm15_TP3_ad2_mh300,VIC,8,0.5,0.5,1,1.5,TP3,2,300,6694274.14,11.69,46214.15,3065.33,1319,True,True
vcal_e8_to05_tc05_s1_slm15_TP3_ad1_mh300,VIC,8,0.5,0.5,1,1.5,TP3,1,300,6703582.46,11.68,46158.43,3050.41,1319,True,True
vcal_e8_to05_tc15_s1_slm17_TP3_ad0_mh240,VIC,8,0.5,1.5,1,1.7,TP3,0,240,3603982.29,11.9,45626.34,3042.07,1319,True,True
vcal_e8_to05_tc15_s1_slm17_TP3_ad2_mh240,VIC,8,0.5,1.5,1,1.7,TP3,2,240,3477398.82,11.88,45461.55,2915.83,1319,True,True
vcal_e8_to05_tc05_s1_slm15_TP3_ad0_mh150,VIC,8,0.5,0.5,1,1.5,TP3,0,150,6555447.93,11.69,45433.81,3084.56,1319,True,True
vcal_e8_to05_tc15_s1_slm17_TP3_ad0_mh300,VIC,8,0.5,1.5,1,1.7,TP3,0,300,3454083.99,11.93,45417.39,3065.62,1319,True,True
vcal_e8_to05_tc15_s1_slm17_TP3_ad1_mh240,VIC,8,0.5,1.5,1,1.7,TP3,1,240,3460673.44,11.89,45211.78,2900.91,1319,True,True
vcal_e8_to05_tc05_s1_slm15_TP3_ad2_mh150,VIC,8,0.5,0.5,1,1.5,TP3,2,150,6175463.64,11.69,45171.33,3049.82,1319,True,True
vcal_e8_to05_tc15_s1_slm17_TP3_ad2_mh300,VIC,8,0.5,1.5,1,1.7,TP3,2,300,3311573.41,11.89,45149.55,2939.38,1319,True,True
vcal_e8_to05_tc05_s1_slm15_TP3_ad1_mh150,VIC,8,0.5,0.5,1,1.5,TP3,1,150,6268331.34,11.7,45022.94,3031.25,1319,True,True
vcal_e8_to05_tc15_s1_slm17_TP3_ad1_mh300,VIC,8,0.5,1.5,1,1.7,TP3,1,300,3323398.01,11.91,44943.48,2924.46,1319,True,True
vcal_e8_to05_tc05_s1_slm17_TP3_ad0_mh90,VIC,8,0.5,0.5,1,1.7,TP3,0,90,3514416.37,11.56,44755.4,2950.86,1319,True,True
vcal_e8_to05_tc15_s1_slm17_TP3_ad0_mh150,VIC,8,0.5,1.5,1,1.7,TP3,0,150,3295372.66,11.92,44545.55,2912.4,1319,True,True
vcal_e8_to05_tc05_s1_slm17_TP3_ad2_mh90,VIC,8,0.5,0.5,1,1.7,TP3,2,90,3364894.39,11.55,44280.28,2868.64,1319,True,True
vcal_e8_to05_tc05_s1_slm17_TP3_ad1_mh90,VIC,8,0.5,0.5,1,1.7,TP3,1,90,3385241.33,11.59,44271.24,2848.75,1319,True,True
vcal_e8_to05_tc15_s1_slm17_TP3_ad2_mh150,VIC,8,0.5,1.5,1,1.7,TP3,2,150,3143481.44,11.92,44239.75,2878.56,1319,True,True
vcal_e8_to05_tc05_s1_slm17_TP2_ad0_mh240,VIC,8,0.5,0.5,1,1.7,TP2,0,240,3074927.37,11.79,44224.48,3082.62,1319,True,True
vcal_e8_to05_tc05_s1_slm17_TP2_ad2_mh240,VIC,8,0.5,0.5,1,1.7,TP2,2,240,3067598.71,11.83,44185.26,2961.84,1319,True,True
vcal_e8_to05_tc15_s1_slm17_TP3_ad1_mh150,VIC,8,0.5,1.5,1,1.7,TP3,1,150,3176417.79,11.92,44062.07,2856.51,1319,True,True
vcal_e8_to05_tc05_s1_slm17_TP2_ad0_mh300,VIC,8,0.5,0.5,1,1.7,TP2,0,300,2955951.74,11.81,43956.61,3106.17,1319,True,True
vcal_e8_to05_tc05_s1_slm17_TP2_ad2_mh300,VIC,8,0.5,0.5,1,1.7,TP2,2,300,2924719.72,11.79,43864.15,2985.39,1319,True,True
vcal_e8_to05_tc05_s1_slm17_TP2_ad1_mh240,VIC,8,0.5,0.5,1,1.7,TP2,1,240,2979774.53,11.81,43769.35,2946.92,1319,True,True
vcal_e8_to05_tc15_s1_slm15_TP3_ad0_mh240,VIC,8,0.5,1.5,1,1.5,TP3,0,240,5114307.37,11.77,43601.28,2981.13,1319,True,True
vcal_e8_to05_tc05_s1_slm17_TP2_ad1_mh300,VIC,8,0.5,0.5,1,1.7,TP2,1,300,2847003.51,11.78,43490.11,2970.47,1319,True,True
vcal_e8_to05_tc15_s1_slm15_TP3_ad0_mh300,VIC,8,0.5,1.5,1,1.5,TP3,0,300,4946192.03,11.76,43421.88,2982.73,1319,True,True
vcal_e8_to05_tc15_s1_slm15_TP3_ad2_mh240,VIC,8,0.5,1.5,1,1.5,TP3,2,240,4962107.36,11.81,43357.39,2854.89,1319,True,True
vcal_e8_to05_tc15_s1_slm15_TP3_ad1_mh240,VIC,8,0.5,1.5,1,1.5,TP3,1,240,4960492.89,11.75,43247.06,2839.97,1319,True,True
vcal_e8_to05_tc05_s1_slm17_TP2_ad0_mh150,VIC,8,0.5,0.5,1,1.7,TP2,0,150,2812242.26,11.78,43200.54,2980.1,1319,True,True
vcal_e8_to05_tc05_s1_slm17_TP2_ad2_mh150,VIC,8,0.5,0.5,1,1.7,TP2,2,150,2806710.1,11.78,43156.87,2946.26,1319,True,True
vcal_e8_to05_tc15_s1_slm15_TP3_ad2_mh300,VIC,8,0.5,1.5,1,1.5,TP3,2,300,4711191.1,11.8,43053.56,2856.49,1319,True,True
vcal_e8_to05_tc05_s1_slm15_TP3_ad0_mh90,VIC,8,0.5,0.5,1,1.5,TP3,0,90,5217095.38,11.5,43028.95,2922.06,1319,True,True
vcal_e8_to05_tc15_s1_slm15_TP3_ad1_mh300,VIC,8,0.5,1.5,1,1.5,TP3,1,300,4735067.46,11.8,43008.31,2841.57,1319,True,True
vcal_e8_to05_tc05_s1_slm17_TP2_ad1_mh150,VIC,8,0.5,0.5,1,1.7,TP2,1,150,2757047.86,11.84,42847.85,2924.21,1319,True,True
vcal_e7_to05_tc05_s1_slm17_TP3_ad0_mh240,VIC,7,0.5,0.5,1,1.7,TP3,0,240,5121228.68,11.72,42742.04,2836.56,1319,True,True
