cell,strategy,entries,sl_multiplier,trailing_open,trailing_close,trail_after_stage,final_target,max_hold,activation_delay,est_jan_edge,tick_oos,est_jan_oos,est_jan_dd,pass_dd40,pass_dd50,f_edge,f_dd,tickmay_edge,tickmay_dd,tickmay_net,m1may_edge,m1may_dd,m1may_net,m1_jan_edge,m1_jan_oos,m1_jan_dd,m1_jan_net,jan_signals
vcal_e8_to05_tc05_s1_slm17_TP2_ad0_mh150,VIC,8,1.7,0.5,0.5,1,TP2,150,0,18442.31,755.2,1272.2,38.39,True,True,0.4269,3.2587,4130.82,10.33,21314.28,9676.19,3.17,77857.37,43200.54,2980.1,11.78,2812242.26,1319
vcal_e8_to05_tc05_s1_slm17_TP2_ad1_mh150,VIC,8,1.7,0.5,0.5,1,TP2,150,1,18386.01,755.2,1254.78,38.75,True,True,0.4291,3.273,4159.15,10.31,21357.04,9692.58,3.15,77974.64,42847.85,2924.21,11.84,2757047.86,1319
vcal_e8_to05_tc05_s1_slm17_TP2_ad2_mh150,VIC,8,1.7,0.5,0.5,1,TP2,150,2,18289.88,755.2,1248.62,38.57,True,True,0.4238,3.2739,4093.45,10.28,20953.94,9659.56,3.14,77428.05,43156.87,2946.26,11.78,2806710.1,1319
vcal_e8_to05_tc15_s1_slm17_TP2_ad0_mh150,VIC,8,1.7,0.5,1.5,1,TP2,150,0,18162.08,755.2,1236.61,35.38,True,True,0.441,2.9828,3999.04,10.41,20495.62,9068.07,3.49,69496.16,41183.85,2804.1,11.86,2322363.88,1319
vcal_e8_to05_tc15_s1_slm17_TP2_ad1_mh150,VIC,8,1.7,0.5,1.5,1,TP2,150,1,18096.53,755.2,1218.28,38.0,True,True,0.4433,3.2068,4027.37,10.39,20640.14,9085.46,3.24,70054.78,40822.32,2748.21,11.85,2280412.01,1319
vcal_e8_to05_tc15_s1_slm17_TP2_ad2_mh150,VIC,8,1.7,0.5,1.5,1,TP2,150,2,17999.38,755.2,1213.1,37.83,True,True,0.4379,3.1975,3963.67,10.36,20324.38,9052.44,3.24,68859.39,41103.87,2770.26,11.83,2303042.68,1319
vcal_e8_to05_tc05_s1_slm15_TP2_ad1_mh150,VIC,8,1.5,0.5,0.5,1,TP2,150,1,17883.75,298.72,1265.35,19.23,True,True,0.4374,1.6493,4226.25,8.84,24942.29,9662.42,5.36,94178.85,40886.48,2892.88,11.66,3844188.59,1319
vcal_e8_to05_tc05_s1_slm15_TP2_ad0_mh150,VIC,8,1.5,0.5,0.5,1,TP2,150,0,17762.26,298.72,1271.28,19.29,True,True,0.4315,1.6561,4197.92,8.86,24796.32,9729.61,5.35,95473.32,41163.98,2946.19,11.65,3955596.55,1319
vcal_e8_to05_tc05_s1_slm15_TP2_ad2_mh150,VIC,8,1.5,0.5,0.5,1,TP2,150,2,17700.65,298.72,1252.21,19.35,True,True,0.4301,1.6591,4159.53,8.81,24553.65,9670.42,5.31,95073.28,41154.74,2911.45,11.66,3902897.34,1319
vcal_e8_to05_tc05_s1_slm17_TP3_ad0_mh150,VIC,8,1.7,0.5,0.5,1,TP3,150,0,17092.68,521.28,1125.2,36.83,True,True,0.3595,3.1134,3735.89,10.43,19980.06,10393.18,3.35,86261.84,47545.7,3129.89,11.83,4418474.65,1319
vcal_e8_to05_tc05_s1_slm17_TP3_ad1_mh150,VIC,8,1.7,0.5,0.5,1,TP3,150,1,17009.31,521.28,1110.94,37.91,True,True,0.3614,3.2099,3764.22,10.4,20124.58,10414.99,3.24,86478.19,47065.06,3074.0,11.81,4279231.78,1319
vcal_e8_to05_tc05_s1_slm17_TP3_ad2_mh150,VIC,8,1.7,0.5,0.5,1,TP3,150,2,16822.5,521.28,1102.19,38.03,True,True,0.356,3.2205,3698.52,10.37,19867.78,10388.78,3.22,86155.23,47254.21,3096.05,11.81,4240746.82,1319
