rank,id,tick_net,m1_net,disc_m1_minus_tick,disc_pct,tick_dd_pct,m1_dd_pct,m1_net_nobonus,m1_bonus,m1_edge_fixed,m1_closed_lots,m1_winrate,tick_nofill,slm,entries,slgap,maxhold,delay,frac,lock2,final,rr1,rr2,rr3,bb,rsi_buy,rsi_sell
1,c160,8136.84,54716.850000014616,46580.01,572.5,103.67,42.10272525394987,51289.29000001523,3427.559999999998,8352.566666668492,1142.520000000005,50.83521444695259,452,2.1,7,0.7,300,24,0.75,false,TP3,1.2,2.5,5,0.0006,70,30
2,c072,6456.5,20234.566666653773,13778.07,213.4,88.81,40.04235994195571,17227.816666654562,3006.749999999972,4551.926666663123,1002.2499999999997,52.87300820859488,431,1.9,7,0.3,300,12,0.75,true,TP3,1,2.5,4,0.0008,80,20
3,c083,2505.08,28080.806666653676,25575.73,1021.0,114.32,35.50080928588753,24643.736666654106,3437.069999999978,4057.4866666635644,1145.6900000000019,52.64336917562724,455,1.9,7,0.5,180,12,0.5,true,TP3,1.2,2.5,5,0.0006,75,25
4,c068,2363.6,23870.000000000276,21506.4,909.9,110.59,32.46020755498874,21007.579999999467,2862.42000000002,4018.0800000000672,954.140000000002,54.91251682368775,456,2.3,6,0.3,300,12,0.5,true,TP3,1.2,2.5,5,0.0006,75,25
5,c197,2255.9,37998.26999999552,35742.37,1584.4,121.12,40.85053576805387,33921.29999999578,4076.9699999999852,5583.30666666694,1358.9900000000036,48.54881266490765,464,1.7,7,0.7,300,12,0.75,false,TP3,1.2,2.5,5,0.0004,70,30
6,c133,1405.79,72324.2899999984,70918.5,5044.7,125.48,41.296562263417925,67152.55999999741,5171.729999999983,6023.379999999161,1723.9100000000087,50.17590149516271,463,1.7,6,0.7,180,24,0.25,true,TP3,1.2,2.5,5,0.0004,70,30
7,c030,529.16,46377.44666667128,45848.29,8664.4,86.04,33.70936934646257,43526.426666672414,2851.0199999999927,7913.899999999827,950.340000000002,55.024154589371975,431,2.3,7,0.7,300,24,0.5,true,TP3,1,2.5,4,0.0008,100,0
8,c173,-67.21,18731.529999995662,18798.74,27970.2,93.22,38.27965736295154,15394.479999994535,3337.0499999999925,3387.689999998598,1112.3500000000067,50.89242643511819,431,1.7,6,0.5,300,12,0.5,true,TP3,1,2.5,4,0.0008,100,0
9,c031,-253.14,-25152.418571423215,-24899.28,-9836.2,110.84,59.17034718257934,-26817.208571423056,1664.7900000000368,-7202.3057142864345,554.9300000000052,54.92160278745645,467,2.1,8,0.5,180,0,0.25,true,TP3,1.2,2.5,5,0.0004,100,0
10,c166,-1003.37,44532.780000017636,45536.15,4538.3,91.04,41.532709064785266,41047.86000001705,3484.9199999999905,6443.340000000673,1161.640000000003,51.991247264770244,466,2.1,6,0.7,300,24,0.25,false,TP3,1,2.5,4,0.0004,75,25
