rank,cell,trailing_open,trailing_close,after_stage,tp1_lock_delay,net_profit,max_drawdown_pct,passes_dd,win_rate_pct,signals_included,tick_signals,m1_signals
1,to05_tc05_af1,0.5,0.5,1,24,115567.87,23.51,True,41.1,1570,1140,430
2,to05_tc10_af1,0.5,1.0,1,24,107274.17,23.51,True,41.0,1570,1140,430
3,to10_tc05_af1,1.0,0.5,1,24,92034.13,23.31,True,41.1,1570,1140,430
4,to10_tc10_af1,1.0,1.0,1,24,85129.04,23.84,True,41.1,1570,1140,430
5,to00_tc05_af1,0.0,0.5,1,24,82532.35,29.11,True,44.3,1570,1140,430
6,to05_tc05_af0,0.5,0.5,0,24,82516.78,25.62,True,55.4,1570,1140,430
7,to00_tc10_af1,0.0,1.0,1,24,75494.6,30.59,True,44.3,1570,1140,430
8,to05_tc10_af0,0.5,1.0,0,24,67525.18,28.87,True,54.6,1570,1140,430
9,to10_tc05_af0,1.0,0.5,0,24,64245.92,26.05,True,55.6,1570,1140,430
10,to10_tc10_af0,1.0,1.0,0,24,57267.17,27.06,True,54.6,1570,1140,430
11,to05_tc00_af0,0.5,0.0,0,24,31884.02,34.79,True,40.0,1570,1140,430
12,to10_tc00_af0,1.0,0.0,0,24,22611.61,30.78,True,40.1,1570,1140,430
13,to00_tc05_af0,0.0,0.5,0,24,33965.76,47.19,False,52.4,1570,1140,430
14,to00_tc10_af0,0.0,1.0,0,24,30399.54,49.85,False,51.8,1570,1140,430
15,to00_tc00_af0,0.0,0.0,0,24,17836.12,58.08,False,43.3,1570,1140,430
16,to05_tc00_af1,0.5,0.0,1,24,8882.63,44.09,False,34.8,1570,1140,430
17,to10_tc00_af1,1.0,0.0,1,24,3550.91,44.74,False,34.6,1570,1140,430
18,to00_tc00_af1,0.0,0.0,1,24,-1168.87,79.83,False,38.1,1570,1140,430
