rank,cell,trailing_open,trailing_close,trail_after_stage,sl_multiplier,final_target,activation_delay,net_compound,drawdown_pct,edge,oos,passes_dd,beats_netdd,beats_edge,beats_oos,beats_all,win_rate_pct,signals_included,tick_signals,m1_signals
0,v116_base,,,,,,,11111.47,5.61,1776.5,526.0,,,,,,55.2,350,250,100
1,vic_to05_tc05_s1_slm15_TP2_ad1,0.5,0.5,1,1.5,TP2,1,21720.91,9.59,3086.72,57.05,True,False,True,False,False,48.6,350,250,100
2,vic_to05_tc05_s1_slm15_TP2_ad0,0.5,0.5,1,1.5,TP2,0,21695.01,9.59,3082.96,57.05,True,False,True,False,False,48.3,350,250,100
3,vic_to05_tc05_s1_slm15_TP2_ad2,0.5,0.5,1,1.5,TP2,2,21179.71,9.56,3042.88,57.05,True,False,True,False,False,48.9,350,250,100
4,vic_to05_tc15_s1_slm15_TP2_ad1,0.5,1.5,1,1.5,TP2,1,20899.04,9.67,2974.94,57.05,True,False,True,False,False,48.6,350,250,100
5,vic_to05_tc15_s1_slm15_TP2_ad0,0.5,1.5,1,1.5,TP2,0,20753.74,9.68,2971.18,57.05,True,False,True,False,False,48.3,350,250,100
6,vic_to05_tc15_s1_slm15_TP2_ad2,0.5,1.5,1,1.5,TP2,2,20543.42,9.65,2932.1,57.05,True,False,True,False,False,48.9,350,250,100
7,vic_to05_tc05_s1_slm15_TP3_ad1,0.5,0.5,1,1.5,TP3,1,20382.06,9.52,2797.63,-169.4,True,False,True,False,False,46.9,350,250,100
8,vic_to05_tc05_s1_slm15_TP3_ad0,0.5,0.5,1,1.5,TP3,0,20356.16,9.53,2793.87,-169.4,True,False,True,False,False,46.6,350,250,100
9,vic_to05_tc05_s2_slm15_TP3_ad1,0.5,0.5,2,1.5,TP3,1,20195.12,9.49,2727.42,-169.4,True,False,True,False,False,45.3,350,250,100
10,vic_to05_tc05_s1_slm15_TP3_ad2,0.5,0.5,1,1.5,TP3,2,20017.44,9.5,2753.79,-169.4,True,False,True,False,False,47.2,350,250,100
11,vic_to05_tc05_s2_slm15_TP3_ad0,0.5,0.5,2,1.5,TP3,0,20013.76,9.49,2725.74,-169.4,True,False,True,False,False,44.9,350,250,100
12,vic_to05_tc05_s2_slm15_TP2_ad1,0.5,0.5,2,1.5,TP2,1,19844.27,9.71,2839.41,57.05,True,False,True,False,False,46.9,350,250,100
13,vic_to05_tc15_s2_slm15_TP2_ad1,0.5,1.5,2,1.5,TP2,1,19844.27,9.71,2839.41,57.05,True,False,True,False,False,46.9,350,250,100
