rank,id,tick_net,m1_net,disc_m1_minus_tick,disc_pct,tick_dd_pct,m1_dd_pct,m1_net_nobonus,m1_edge_fixed,m1_closed_lots,m1_winrate,tick_nofill,slm,entries,slgap,maxhold,delay,frac,lock2,final
1,c116,24667.42,43496.03285714517,18828.61,76.3,22.56,11.347858794445456,42879.442857145135,2480.6971428571414,205.5299999999999,63.06818181818182,90,1.7,8,0.5,180,12,0.5,true,TP2
2,c066,24667.42,43496.03285714517,18828.61,76.3,22.56,11.347858794445456,42879.442857145135,2480.6971428571414,205.5299999999999,63.06818181818182,90,1.7,8,0.5,180,12,0.75,false,TP2
3,c118,24667.42,16173.594285716463,-8493.83,-34.4,22.56,15.997967298430943,15659.034285716487,1146.3685714285966,171.52,62.5,90,1.7,8,0.5,180,0,0.5,true,TP2
4,c060,24347.6,39256.18333333536,14908.58,61.2,22.55,12.903898388583581,38656.093333335324,2009.7433333334338,200.03000000000014,63.06818181818182,90,1.7,7,0.5,180,12,0.5,false,TP2
5,c030,24347.6,39256.18333333536,14908.58,61.2,22.55,12.903898388583581,38656.093333335324,2009.7433333334338,200.03000000000014,63.06818181818182,90,1.7,7,0.5,180,12,0.5,true,TP2
6,c076,21349.74,37777.992857142264,16428.25,76.9,21.0,12.447785440152265,37254.582857142246,2559.8699999997843,174.47000000000008,63.63636363636363,90,1.9,8,0.5,180,12,0.75,true,TP2
7,c004,20041.65,32187.400000000765,12145.75,60.6,22.26,15.375957294600994,31733.0500000008,1857.5800000000672,151.44999999999993,65.3409090909091,90,2.1,6,0.5,180,12,0.25,true,TP2
8,c043,20041.65,38403.300000000774,18361.65,91.6,22.26,14.927800211614981,37925.49000000082,2143.220000000052,159.2699999999999,65.3409090909091,90,2.1,6,0.5,180,24,0.75,false,TP2
9,c142,19343.27,29207.54000000056,9864.27,51.0,22.43,15.776488556717853,28761.680000000626,2055.029999999948,148.62000000000003,65.3409090909091,90,2.1,7,0.5,180,12,0.25,false,TP2
10,c025,19343.27,10223.196666667376,-9120.07,-47.1,22.43,18.616297243380767,9836.586666667416,841.6999999999389,128.87000000000003,64.77272727272727,90,2.1,7,0.5,180,0,0.25,true,TP2
11,c044,18930.19,29067.269999998884,10137.08,53.5,21.19,16.70308103744592,28668.359999999004,1917.389999999832,132.96999999999994,66.47727272727273,90,2.3,6,0.5,180,12,0.25,false,TP2
12,c056,18930.19,10913.039999999266,-8017.15,-42.4,21.19,19.822867835839926,10565.099999999315,832.0099999998711,115.98000000000012,66.47727272727273,90,2.3,6,0.5,180,0,0.5,true,TP2
13,c054,18930.19,34901.53999999902,15971.35,84.4,21.19,16.296102682312906,34482.079999998954,2224.599999999802,139.81999999999994,67.04545454545455,90,2.3,6,0.5,180,24,0.75,true,TP2
14,c028,18860.48,31688.962857143662,12828.48,68.0,21.19,14.364621750057,31239.892857143703,2482.881428571316,149.69000000000017,65.9090909090909,90,2.1,8,0.5,180,12,0.5,true,TP2
15,c105,18860.48,31688.962857143662,12828.48,68.0,21.19,14.364621750057,31239.892857143703,2482.881428571316,149.69000000000017,65.9090909090909,90,2.1,8,0.5,180,12,0.5,false,TP2
16,c038,18860.48,31688.962857143662,12828.48,68.0,21.19,14.364621750057,31239.892857143703,2482.881428571316,149.69000000000017,65.9090909090909,90,2.1,8,0.5,180,12,0.75,true,TP2
17,c071,18648.46,32185.38333333208,13536.92,72.6,22.07,16.118991910938874,31770.033333332154,2453.8266666664204,138.45,67.04545454545455,90,2.3,7,0.5,180,24,0.25,true,TP2
18,c058,18648.46,27305.343333332145,8656.88,46.4,22.07,16.9242715677691,26908.473333332204,2072.4966666664695,132.29000000000008,67.04545454545455,90,2.3,7,0.5,180,12,0.75,true,TP2
19,c089,18648.46,8938.12333333247,-9710.34,-52.1,22.07,19.62134078865518,8595.103333332521,843.1666666664751,114.33999999999999,66.47727272727273,90,2.3,7,0.5,180,0,0.5,true,TP2
20,c113,18355.14,14506.89000000195,-3848.25,-21.0,24.48,16.28157849680366,14010.48000000195,770.5800000000163,165.46999999999986,62.28571428571429,90,1.7,6,0.5,240,0,0.5,false,TP2
21,c092,17755.12,36131.74000000184,18376.62,103.5,24.01,12.383388451999428,35556.250000001746,1926.6600000000763,191.83,63.42857142857142,90,1.7,7,0.5,240,12,0.5,false,TP2
22,c098,17755.12,43539.59000000173,25784.47,145.2,24.01,10.967198163790268,42934.82000000178,2239.8600000000224,201.59000000000003,64.0,90,1.7,7,0.5,240,24,0.25,true,TP2
23,c049,17590.31,13178.720000002191,-4411.59,-25.1,23.18,18.431570223698724,12683.750000002157,716.5400000000227,164.98999999999995,62.643678160919535,90,1.7,6,0.5,300,0,0.25,true,TP2
24,c095,17590.31,40161.370000002076,22571.06,128.3,23.18,13.723153032821006,39566.50000000219,1765.4099999999962,198.29000000000008,63.2183908045977,90,1.7,6,0.5,300,12,0.25,true,TP2
25,c107,17180.88,35471.290000002016,18290.41,106.5,22.88,13.70537913498919,34892.830000001966,1884.063333333419,192.82000000000002,63.2183908045977,90,1.7,7,0.5,300,12,0.75,false,TP2
26,c128,16960.11,31848.3400000001,14888.23,87.8,21.79,17.47230706988841,31478.020000000073,2237.5799999999726,123.44000000000007,69.31818181818183,90,2.5,6,0.5,180,24,0.25,true,TP2
27,c052,16960.11,31848.3400000001,14888.23,87.8,21.79,17.47230706988841,31478.020000000073,2237.5799999999726,123.44000000000007,69.31818181818183,90,2.5,6,0.5,180,24,0.75,true,TP2
28,c111,16960.11,25782.360000000088,8822.25,52.0,21.79,17.947304453387318,25431.270000000062,1907.7699999999968,117.03000000000006,68.18181818181817,90,2.5,6,0.5,180,12,0.5,false,TP2
