rank,cell,edge_fixed_no_bonus,oos_fixed_no_bonus,concurrent_risk_max_dd_pct,fixed_with_bonus,stable_fraction,trailing_open_distance,trailing_close_distance,entry_count,sl_multiplier,max_hold_minutes,tp1_lock_delay_minutes,tp1_lock_fraction,lock_after_tp2,candidate_id
1,to0p1_tc0p2,252659.84,67251.25,38.09,257109.92,1.000,0.1,0.2,8,1.15,180,0,0.25,True,f64e5b5c470d1ba8
2,to0p1_tc0p2,226595.55,60689.74,18.08,230713.32,1.000,0.1,0.2,8,1.9,240,20,0.25,True,8c2c014a7eea6f85
3,to0p1_tc0p2,207468.17,54042.74,39.02,211918.25,1.000,0.1,0.2,8,1.9,300,0,0.5,True,dd9a173ce0da1e5e
4,to0p1_tc0p2,203998.65,53421.86,35.56,208463.19,1.000,0.1,0.2,8,2.2,240,10,0.25,False,b2ec074cb22cbade
5,to0p1_tc0p2,199466.66,53151.94,19.33,203953.01,1.000,0.1,0.2,8,1.9,60,0,0.75,True,4644f2fcd9d3b128
6,to0p1_tc0p2,198986.32,53439.04,7.60,203491.27,1.000,0.1,0.2,8,2.2,30,15,0.5,True,5b0ee379be58e98d
7,to0p1_tc0p2,196625.46,52704.50,12.03,200386.35,1.000,0.1,0.2,7,1.9,120,0,1.0,True,732d22a08db1e72b
8,to0p1_tc0p2,195271.12,52767.75,21.74,199105.81,1.000,0.1,0.2,7,1.3,90,0,0.25,True,031178d94969374e
9,to0p1_tc0p2,192735.87,50457.43,23.15,197110.08,1.000,0.1,0.2,8,1.15,90,30,1.0,True,7f54278b2fcebbf9
10,to0p1_tc0p2,186550.06,49659.86,34.87,190591.99,1.000,0.1,0.2,8,1.9,240,0,0.25,True,ad8203210e53b24e
11,to0p1_tc0p2,185160.51,49401.45,14.26,189438.30,1.000,0.1,0.2,8,1.75,45,0,0.75,True,d8adf37d6c82f3c5
12,to0p1_tc0p2,182548.13,50033.06,5.21,186304.76,1.000,0.1,0.2,8,2.1,240,24,0.5,True,81b279f5cc7aead1
13,to0p1_tc0p2,181258.39,48619.96,24.30,185337.07,1.000,0.1,0.2,8,2.1,120,30,0.5,False,a6619ca2b54b69a5
14,to0p1_tc0p2,179455.48,47234.38,6.28,183346.06,1.000,0.1,0.2,7,1.45,300,0,0.25,True,7f925efb58e9196a
15,to0p1_tc0p2,178913.15,46489.97,12.53,183190.70,1.000,0.1,0.2,8,2.3,300,0,0.75,True,768a1d96b5b0088c
16,to0p1_tc0p2,178080.81,49288.88,4.65,181743.15,1.000,0.1,0.2,8,2.3,120,0,0.25,True,1dcf6c884a7c70ad
17,to0p1_tc0p2,170995.82,45315.37,11.64,174551.87,1.000,0.1,0.2,7,2.0,90,0,1.0,False,938e971fbfe874ee
18,to0p1_tc0p2,170045.90,43979.57,34.90,173836.85,1.000,0.1,0.2,7,2.1,240,0,0.25,False,a9809d6b174a7262
19,to0p1_tc0p2,169102.73,45034.58,25.14,172902.26,1.000,0.1,0.2,7,2.1,60,0,0.25,False,76718322ebcb6f58
20,to0p1_tc0p2,166938.05,43513.83,25.61,170887.52,1.000,0.1,0.2,7,1.61,180,0,0.5,False,c31e4bc9e91e5cf6
