rank,candidate_id,phase,signal_name,strategy_name,score,tick_pnl,max_drawdown_pct,win_rate_pct,profit_factor,max_consecutive_losing_signals,max_daily_loss,loss_count,worst_single_signal_loss,wins,losses,flats,generated_signals,tick_covered_signals,tick_coverage_pct,no_tick_signals,no_fill_signals,max_loss_signal,passes_dd25_gate,passes_dd40_gate,error
1,d721cf9ead70b0da,jan_jun,rsi60_htf_vwap_ny_core,e6_s21_m120_tp2_fastlock,-10886.84,76.38,16.92,45.28,1.002,10,3258.84,87,493.08,72,87,61,987,220,22.29,767,61,-493.08,True,True,
2,bccf51c89ed1d58b,jan_jun,rsi60_htf_vwap_ny_core,e6_gap05_s18_tp2,-10066.34,727.32,17.49,41.4,1.018,10,3099.36,92,493.08,65,92,63,987,220,22.29,767,63,-493.08,False,True,
3,2407bf330fd3b817,jan_jun,trend_pullback_quality_all,e5_s23_m90_tp2_defensive,-15941.28,2039.65,27.55,49.14,1.036,11,3603.15,148,489.25,143,148,112,1680,403,23.99,1277,112,-489.25,False,True,
4,a8be278569910ed2,jan_jun,trend_pullback_quality_all,e4_scaleout_low_dd,-17691.44,2127.92,28.42,49.14,1.036,11,3648.32,148,505.44,143,148,112,1680,403,23.99,1277,112,-505.44,False,True,
5,2e718dfd0b676f91,jan_jun,rsi60_htf_vwap_all,e5_s23_m90_tp2_defensive,-19502.9,9981.55,32.43,50.79,1.143,12,4010.65,187,485.1,193,187,142,2236,522,23.35,1714,142,-485.1,False,True,
6,29ac420b25069841,jan_jun,rsi60_htf_vwap_all,e4_scaleout_low_dd,-21851.32,10363.76,33.72,50.79,1.143,12,4082.32,187,499.68,193,187,142,2236,522,23.35,1714,142,-499.68,False,True,
7,97ef5b3f9909dc05,jan_jun,rsi60_htf_vwap_all,e6_s21_m120_tp2_fastlock,-37736.82,3995.16,37.08,45.79,1.047,13,5080.32,206,493.08,174,206,143,2236,523,23.39,1713,143,-493.08,False,True,
8,087f0d13de44b739,jan_jun,rsi60_htf_vwap_all,e6_gap05_s18_tp2,-40838.22,4672.12,38.6,41.91,1.048,13,5313.12,219,493.8,158,219,146,2236,523,23.39,1713,146,-493.8,False,True,
9,5854db4a16f26e75,jan_jun,rsi60_htf_vwap_ny_core,e7_s20_m180_tp3_hold,-6990.11,4236.05,18.51,38.99,1.104,10,3262.77,97,492.45,62,97,70,987,229,23.2,758,70,-492.45,False,False,
10,cd375abfd07bbbb5,jan_jun,rsi60_htf_vwap_ny_core,e6_s21_m150_bep,-9131.14,1594.02,19.93,39.62,1.039,10,3018.84,96,495.36,63,96,67,987,226,22.9,761,67,-495.36,False,False,
11,c42a4ce815884d23,jan_jun,rsi60_htf_vwap_ny_core,e6_scaleout_bep,-9131.14,1594.02,19.93,39.62,1.039,10,3018.84,96,495.36,63,96,67,987,226,22.9,761,67,-495.36,False,False,
12,cfbb4681d4ff3766,jan_jun,rsi60_htf_vwap_ny_core,e5_s23_m90_tp2_defensive,-12694.45,-1876.1,18.68,50.31,0.944,10,3292.9,79,485.1,80,79,61,987,220,22.29,767,61,-485.1,False,False,
13,a59d6398943ba1f7,jan_jun,rsi60_htf_vwap_ny_core,e4_scaleout_low_dd,-13230.24,-2168.32,19.61,50.31,0.938,10,3410.68,79,498.72,80,79,61,987,220,22.29,767,61,-498.72,False,False,
14,a2876c7d78275c9b,jan_jun,rsi60_htf_vwap_london_ny,e5_s23_m90_tp2_defensive,-30689.6,-4003.35,31.83,47.33,0.924,12,3522.55,138,485.1,124,138,105,1603,367,22.89,1236,105,-485.1,False,False,
15,af4654658dc95720,jan_jun,rsi60_htf_vwap_london_ny,e4_scaleout_low_dd,-33830.64,-4142.36,33.27,47.33,0.924,12,3580.16,138,498.72,124,138,105,1603,367,22.89,1236,105,-498.72,False,False,
16,8135f3576075b4e5,jan_jun,trend_pullback_quality_all,e6_scaleout_bep,-35253.24,1787.34,34.94,37.8,1.023,13,4978.8,181,497.16,110,181,113,1680,404,24.05,1276,113,-497.16,False,False,
17,60681c283fc18740,jan_jun,trend_pullback_quality_all,e6_s21_m150_bep,-35253.24,1787.34,34.94,37.8,1.023,13,4978.8,181,497.16,110,181,113,1680,404,24.05,1276,113,-497.16,False,False,
