rank,candidate_id,phase,signal_name,strategy_name,score,tick_pnl,max_drawdown_pct,win_rate_pct,profit_factor,max_consecutive_losing_signals,max_daily_loss,loss_count,worst_single_signal_loss,wins,losses,flats,generated_signals,tick_covered_signals,tick_coverage_pct,no_tick_signals,no_fill_signals,max_loss_signal,passes_dd25_gate,passes_dd40_gate,error
1,2e718dfd0b676f91,june,rsi60_htf_vwap_all,e5_s23_m90_tp2_defensive,3035.05,12035.4,8.79,55.37,1.429,8,2883.0,79,485.1,98,79,81,353,258,73.09,95,81,-485.1,True,True,
2,29ac420b25069841,june,rsi60_htf_vwap_all,e4_scaleout_low_dd,2983.24,12287.6,9.32,55.37,1.423,8,3030.76,79,499.68,98,79,81,353,258,73.09,95,81,-499.68,True,True,
3,d721cf9ead70b0da,june,rsi60_htf_vwap_ny_core,e6_s21_m120_tp2_fastlock,-667.96,3260.1,3.99,48.68,1.207,4,1355.76,39,493.08,37,39,33,150,109,72.67,41,33,-493.08,True,True,
4,087f0d13de44b739,june,rsi60_htf_vwap_all,e6_gap05_s18_tp2,-1824.52,11115.82,14.59,45.71,1.271,9,4418.6,95,493.08,80,95,84,353,259,73.37,94,84,-493.08,True,True,
5,97ef5b3f9909dc05,june,rsi60_htf_vwap_all,e6_s21_m120_tp2_fastlock,-1863.95,8102.46,10.88,49.72,1.225,9,3009.72,89,502.74,88,89,82,353,259,73.37,94,82,-502.74,True,True,
6,cfbb4681d4ff3766,june,rsi60_htf_vwap_ny_core,e5_s23_m90_tp2_defensive,-2832.4,1057.15,4.3,52.63,1.072,4,1387.0,36,485.1,40,36,33,150,109,72.67,41,33,-485.1,True,True,
7,a59d6398943ba1f7,june,rsi60_htf_vwap_ny_core,e4_scaleout_low_dd,-3084.32,887.56,4.52,52.63,1.058,4,1424.08,36,495.84,40,36,33,150,109,72.67,41,33,-495.84,True,True,
8,2407bf330fd3b817,june,trend_pullback_quality_all,e5_s23_m90_tp2_defensive,-3617.12,4748.1,12.24,53.96,1.195,8,2639.4,64,489.25,75,64,71,270,210,77.78,60,71,-489.25,True,True,
9,a8be278569910ed2,june,trend_pullback_quality_all,e4_scaleout_low_dd,-3834.96,4704.2,12.88,53.96,1.187,8,2721.52,64,505.44,75,64,71,270,210,77.78,60,71,-505.44,True,True,
10,bb12daf95b73e60c,june,rsi65_bb08_adx18_all,e5_s23_m90_tp2_defensive,-7696.85,8951.85,22.4,50.73,1.113,11,5105.95,202,488.0,208,202,174,776,584,75.26,192,174,-488.0,True,True,
11,1f211941b3d1ba42,june,rsi65_bb08_adx18_all,e4_scaleout_low_dd,-7784.04,9176.24,23.12,50.73,1.112,11,5257.28,202,505.44,208,202,174,776,584,75.26,192,174,-505.44,True,True,
12,a2876c7d78275c9b,june,rsi60_htf_vwap_london_ny,e5_s23_m90_tp2_defensive,-8547.7,128.65,5.92,49.59,1.006,8,2755.9,61,485.1,60,61,64,256,185,72.27,71,64,-485.1,True,True,
